epoch,val_acc
0,0.4800
1,0.4000
2,0.4400
3,0.4800
4,0.4800
5,0.4800
6,0.4800
7,0.4800
8,0.4400
9,0.4400
10,0.4400
11,0.4400
12,0.4400
13,0.4400
14,0.4400
15,0.4800
16,0.5200
17,0.4800
18,0.5200
19,0.5200
20,0.5200
21,0.4800
22,0.4800
23,0.4800
24,0.4800
25,0.4800
26,0.4800
27,0.5600
28,0.5600
29,0.5600
30,0.6000
31,0.6000
32,0.5600
33,0.5600
34,0.5600
35,0.6000
36,0.5200
37,0.5600
38,0.5600
39,0.5600
40,0.5200
41,0.5200
42,0.5200
43,0.4800
44,0.4800
45,0.4400
46,0.4400
47,0.4400
48,0.4800
49,0.5200
50,0.5200
