epoch,val_acc
0,0.3842
1,0.3846
2,0.3851
3,0.3851
4,0.3851
5,0.3851
6,0.3851
7,0.3842
8,0.3863
9,0.3814
10,0.3842
11,0.3838
12,0.3830
13,0.3838
14,0.3859
15,0.3851
16,0.3826
17,0.3830
18,0.3855
19,0.3834
20,0.3834
21,0.3863
22,0.3891
23,0.3887
24,0.3912
25,0.3916
26,0.3920
27,0.3949
28,0.3895
29,0.3883
30,0.3875
31,0.3867
32,0.3887
33,0.3912
34,0.3949
35,0.3961
36,0.3961
37,0.3981
38,0.3973
39,0.4002
40,0.4034
41,0.4014
42,0.4026
43,0.4018
44,0.4026
45,0.4034
46,0.4014
47,0.4026
48,0.4030
49,0.4022
50,0.4034
51,0.4034
52,0.4014
53,0.4010
54,0.3998
55,0.3981
56,0.3993
57,0.3977
58,0.3993
59,0.4018
60,0.4002
