epoch,val_acc
0,0.2513
1,0.2513
2,0.2526
3,0.2526
4,0.2566
5,0.2605
6,0.2566
7,0.2500
8,0.2539
9,0.2513
10,0.2513
11,0.2513
12,0.2513
13,0.2513
14,0.2500
15,0.2618
16,0.2618
17,0.2605
18,0.2618
19,0.2645
20,0.2605
21,0.2592
22,0.2553
23,0.2513
24,0.2487
25,0.2500
26,0.2539
27,0.2632
28,0.2645
29,0.2632
30,0.2671
31,0.2711
32,0.2618
33,0.2645
34,0.2513
35,0.2553
36,0.2684
37,0.2513
38,0.2539
39,0.2592
40,0.2566
41,0.2566
42,0.2566
43,0.2553
44,0.2566
45,0.2526
46,0.2526
47,0.2526
48,0.2592
49,0.2553
50,0.2526
51,0.2447
