epoch,val_acc
0,0.5490
1,0.6230
2,0.6474
3,0.6362
4,0.6332
5,0.6388
6,0.6428
7,0.6520
8,0.6489
9,0.6530
10,0.6525
11,0.6494
12,0.6494
13,0.6520
14,0.6535
15,0.6565
16,0.6591
17,0.6606
18,0.6651
19,0.6692
20,0.6697
21,0.6702
22,0.6712
23,0.6712
24,0.6717
25,0.6738
26,0.6788
27,0.7007
28,0.7291
29,0.7433
30,0.7590
31,0.7717
32,0.7829
33,0.7854
34,0.7925
35,0.7991
36,0.8072
37,0.8123
38,0.8184
39,0.8229
40,0.8250
41,0.8280
42,0.8305
43,0.8316
44,0.8346
45,0.8356
46,0.8356
47,0.8371
48,0.8382
49,0.8397
50,0.8402
51,0.8407
52,0.8412
53,0.8422
54,0.8427
55,0.8427
56,0.8427
57,0.8427
58,0.8447
59,0.8453
60,0.8463
61,0.8458
62,0.8468
63,0.8468
64,0.8483
65,0.8488
66,0.8488
67,0.8488
68,0.8483
69,0.8488
70,0.8498
71,0.8498
72,0.8503
73,0.8503
74,0.8508
75,0.8508
76,0.8493
77,0.8498
78,0.8503
79,0.8508
80,0.8519
81,0.8524
82,0.8534
83,0.8529
84,0.8539
85,0.8534
86,0.8554
87,0.8539
88,0.8539
89,0.8539
90,0.8554
91,0.8564
92,0.8569
93,0.8574
94,0.8559
95,0.8574
96,0.8579
97,0.8579
98,0.8590
99,0.8574
100,0.8564
101,0.8564
102,0.8574
103,0.8590
104,0.8595
105,0.8590
106,0.8595
107,0.8595
108,0.8605
109,0.8600
110,0.8595
111,0.8605
112,0.8600
113,0.8574
114,0.8595
115,0.8600
116,0.8610
117,0.8615
118,0.8610
119,0.8610
120,0.8620
121,0.8605
122,0.8615
123,0.8605
124,0.8615
125,0.8625
126,0.8620
127,0.8630
128,0.8620
129,0.8620
130,0.8615
131,0.8620
132,0.8620
133,0.8625
134,0.8635
135,0.8625
136,0.8620
137,0.8630
138,0.8620
139,0.8625
140,0.8630
141,0.8625
142,0.8630
143,0.8615
144,0.8615
145,0.8620
146,0.8615
147,0.8630
148,0.8650
149,0.8615
150,0.8625
151,0.8605
152,0.8620
153,0.8615
154,0.8620
155,0.8615
156,0.8630
157,0.8650
158,0.8635
159,0.8645
160,0.8656
161,0.8661
162,0.8656
163,0.8671
164,0.8656
165,0.8650
166,0.8645
167,0.8635
168,0.8645
169,0.8661
170,0.8666
171,0.8650
172,0.8645
173,0.8661
174,0.8676
175,0.8676
176,0.8640
177,0.8605
178,0.8625
179,0.8661
180,0.8671
181,0.8656
182,0.8630
183,0.8625
184,0.8650
185,0.8666
186,0.8650
187,0.8640
188,0.8625
189,0.8650
190,0.8661
191,0.8656
192,0.8630
193,0.8630
194,0.8650
