epoch,val_acc
0,0.1690
1,0.1659
2,0.1606
3,0.1593
4,0.1580
5,0.1571
6,0.1589
7,0.1712
8,0.1778
9,0.1951
10,0.2211
11,0.2074
12,0.2158
13,0.2312
14,0.2498
15,0.2590
16,0.2736
17,0.2776
18,0.2820
19,0.2926
20,0.2996
21,0.2996
22,0.3010
23,0.3027
24,0.3089
25,0.3160
26,0.3164
27,0.3155
28,0.3169
29,0.3173
30,0.3199
31,0.3235
32,0.3274
33,0.3310
34,0.3345
35,0.3407
36,0.3411
37,0.3376
38,0.3385
39,0.3389
40,0.3416
41,0.3482
42,0.3495
43,0.3473
44,0.3442
45,0.3486
46,0.3464
47,0.3500
48,0.3513
49,0.3553
50,0.3583
51,0.3605
52,0.3641
53,0.3645
54,0.3641
55,0.3636
56,0.3672
57,0.3672
58,0.3716
59,0.3756
60,0.3773
61,0.3782
62,0.3822
63,0.3826
64,0.3826
65,0.3822
66,0.3835
67,0.3857
68,0.3861
69,0.3883
70,0.3892
71,0.3932
72,0.3923
73,0.3928
74,0.3936
75,0.3950
76,0.3976
77,0.4003
78,0.4038
79,0.4029
80,0.4020
81,0.4069
82,0.4082
83,0.4064
84,0.4073
85,0.4091
86,0.4095
87,0.4104
88,0.4135
89,0.4148
90,0.4148
91,0.4175
92,0.4184
93,0.4192
94,0.4192
95,0.4228
96,0.4228
97,0.4219
98,0.4241
99,0.4259
100,0.4259
101,0.4254
102,0.4254
103,0.4259
104,0.4263
105,0.4272
106,0.4285
107,0.4298
108,0.4272
109,0.4312
110,0.4325
111,0.4316
112,0.4312
113,0.4334
114,0.4347
115,0.4338
116,0.4356
117,0.4351
118,0.4347
119,0.4365
120,0.4369
121,0.4382
122,0.4395
123,0.4382
124,0.4400
125,0.4426
126,0.4417
127,0.4417
128,0.4431
129,0.4422
130,0.4435
131,0.4426
132,0.4426
133,0.4444
134,0.4440
135,0.4448
136,0.4453
137,0.4444
138,0.4453
139,0.4484
140,0.4470
141,0.4448
142,0.4453
143,0.4492
144,0.4506
145,0.4492
146,0.4497
147,0.4492
148,0.4519
149,0.4528
150,0.4523
151,0.4537
152,0.4541
153,0.4550
154,0.4554
155,0.4550
156,0.4554
157,0.4537
158,0.4563
159,0.4568
160,0.4559
161,0.4559
162,0.4581
163,0.4559
164,0.4554
165,0.4550
166,0.4563
167,0.4572
168,0.4581
169,0.4581
170,0.4598
171,0.4581
172,0.4576
173,0.4559
174,0.4563
175,0.4616
176,0.4612
177,0.4616
178,0.4620
179,0.4603
180,0.4620
181,0.4643
182,0.4612
183,0.4607
184,0.4581
185,0.4634
186,0.4665
187,0.4669
188,0.4673
189,0.4612
190,0.4638
191,0.4687
192,0.4700
193,0.4660
194,0.4638
195,0.4651
196,0.4713
197,0.4687
198,0.4665
199,0.4660
200,0.4678
201,0.4669
202,0.4673
203,0.4669
204,0.4660
205,0.4665
206,0.4673
207,0.4695
208,0.4718
209,0.4700
210,0.4718
211,0.4687
212,0.4700
213,0.4704
214,0.4709
215,0.4700
216,0.4726
217,0.4744
218,0.4748
219,0.4757
220,0.4718
221,0.4695
222,0.4726
223,0.4713
224,0.4718
225,0.4766
226,0.4748
227,0.4762
228,0.4762
229,0.4766
230,0.4762
231,0.4718
232,0.4766
233,0.4753
234,0.4771
235,0.4744
236,0.4731
237,0.4779
238,0.4779
239,0.4744
240,0.4748
241,0.4753
242,0.4793
243,0.4771
244,0.4757
245,0.4793
246,0.4810
247,0.4801
248,0.4784
249,0.4788
250,0.4793
251,0.4823
252,0.4828
253,0.4828
254,0.4823
255,0.4806
256,0.4823
257,0.4850
258,0.4837
259,0.4823
260,0.4828
261,0.4815
262,0.4823
263,0.4793
264,0.4797
265,0.4810
266,0.4846
267,0.4841
268,0.4832
269,0.4788
270,0.4784
271,0.4815
272,0.4832
273,0.4823
274,0.4832
275,0.4815
276,0.4832
277,0.4837
