epoch,val_acc
0,0.1577
1,0.3784
2,0.4009
3,0.3604
4,0.3739
5,0.4009
6,0.4054
7,0.3874
8,0.3829
9,0.4099
10,0.4054
11,0.3784
12,0.3874
13,0.3829
14,0.3919
15,0.3829
16,0.4009
17,0.3919
18,0.3694
19,0.4054
20,0.4009
21,0.3874
22,0.3649
23,0.4054
24,0.3919
25,0.3964
26,0.4144
27,0.4009
28,0.4099
29,0.4099
30,0.4009
31,0.4189
32,0.4144
33,0.4054
34,0.4189
35,0.4144
36,0.3874
37,0.4099
38,0.4234
39,0.3784
40,0.3964
41,0.4234
42,0.4099
43,0.3964
44,0.4234
45,0.4234
46,0.4189
47,0.4144
48,0.4144
49,0.4279
50,0.4324
51,0.3964
52,0.4099
53,0.4099
54,0.4369
55,0.4099
56,0.4279
57,0.4234
58,0.3964
59,0.4144
60,0.4279
61,0.4144
62,0.4189
63,0.4324
64,0.3784
65,0.4279
66,0.4234
67,0.3784
68,0.4234
69,0.4234
70,0.3919
71,0.4189
72,0.4505
73,0.4234
74,0.3964
75,0.4369
76,0.4369
77,0.4414
78,0.4279
79,0.4595
80,0.4279
81,0.4099
82,0.4324
83,0.4324
84,0.3919
85,0.3964
86,0.4414
87,0.4414
88,0.3784
89,0.4234
90,0.4505
91,0.4414
92,0.3694
93,0.4144
94,0.4640
95,0.4369
96,0.3784
97,0.4279
98,0.4369
99,0.4279
100,0.3874
101,0.4459
102,0.4459
103,0.4054
104,0.4234
105,0.4279
106,0.4369
107,0.3964
108,0.4054
109,0.4505
110,0.4414
111,0.4099
112,0.4144
113,0.4324
114,0.4234
