epoch,val_acc
0,0.2470
1,0.2470
2,0.2521
3,0.4735
4,0.4786
5,0.4966
6,0.5436
7,0.5855
8,0.5872
9,0.5795
10,0.5726
11,0.5718
12,0.6043
13,0.6359
14,0.6444
15,0.6556
16,0.6795
17,0.6872
18,0.6991
19,0.7137
20,0.7291
21,0.7368
22,0.7248
23,0.7410
24,0.7427
25,0.7487
26,0.7573
27,0.7410
28,0.7513
29,0.7615
30,0.7598
31,0.7709
32,0.7650
33,0.7735
34,0.7778
35,0.7778
36,0.7821
37,0.7821
38,0.7786
39,0.7744
40,0.7786
41,0.7855
42,0.7821
43,0.7838
44,0.7838
45,0.7872
46,0.7863
47,0.7906
48,0.8017
49,0.7880
50,0.7880
51,0.7957
52,0.8043
53,0.8026
54,0.7915
55,0.7923
56,0.7991
57,0.8026
58,0.8051
59,0.8017
60,0.8000
61,0.7957
62,0.7966
63,0.7983
64,0.8085
65,0.8103
66,0.8034
67,0.7974
68,0.7932
69,0.8103
70,0.8103
71,0.8051
72,0.7991
73,0.8060
74,0.8060
75,0.8060
76,0.8043
77,0.7915
78,0.8026
79,0.8085
80,0.8085
81,0.8051
82,0.8026
83,0.8034
84,0.8051
85,0.8009
