epoch,val_acc
0,0.3397
1,0.3675
2,0.3712
3,0.3818
4,0.3851
5,0.3851
6,0.3863
7,0.3838
8,0.3785
9,0.3802
10,0.3802
11,0.3830
12,0.3834
13,0.3867
14,0.3895
15,0.3900
16,0.3924
17,0.3940
18,0.3944
19,0.3965
20,0.3961
21,0.3969
22,0.3949
23,0.3928
24,0.3981
25,0.3998
26,0.4067
27,0.4096
28,0.4120
29,0.4100
30,0.4132
31,0.4124
32,0.4128
33,0.4124
34,0.4161
35,0.4165
36,0.4189
37,0.4185
38,0.4169
39,0.4185
40,0.4185
41,0.4161
42,0.4161
43,0.4161
44,0.4140
45,0.4145
46,0.4140
47,0.4124
48,0.4132
49,0.4140
50,0.4153
51,0.4165
52,0.4132
53,0.4185
54,0.4206
55,0.4202
56,0.4230
57,0.4210
58,0.4214
59,0.4247
60,0.4222
61,0.4230
62,0.4243
63,0.4226
64,0.4247
65,0.4226
66,0.4247
67,0.4247
68,0.4251
69,0.4275
70,0.4247
71,0.4287
72,0.4251
73,0.4247
74,0.4275
75,0.4226
76,0.4283
77,0.4267
78,0.4251
79,0.4271
80,0.4222
81,0.4292
82,0.4251
83,0.4279
84,0.4279
85,0.4259
86,0.4267
87,0.4271
88,0.4308
89,0.4218
90,0.4361
91,0.4198
92,0.4296
93,0.4271
94,0.4202
95,0.4324
96,0.4251
97,0.4255
98,0.4336
99,0.4267
100,0.4275
101,0.4300
102,0.4259
103,0.4308
104,0.4308
105,0.4247
106,0.4308
107,0.4304
108,0.4247
109,0.4304
110,0.4308
