epoch,val_acc
0,0.6345
1,0.7196
2,0.7938
3,0.8369
4,0.8767
5,0.8996
6,0.9203
7,0.9302
8,0.9302
9,0.9373
10,0.9378
11,0.9411
12,0.9422
13,0.9449
14,0.9465
15,0.9476
16,0.9460
17,0.9444
18,0.9433
19,0.9433
20,0.9444
21,0.9454
22,0.9465
23,0.9471
24,0.9504
25,0.9525
26,0.9542
27,0.9536
28,0.9542
29,0.9542
30,0.9542
31,0.9531
32,0.9520
33,0.9525
34,0.9536
35,0.9514
36,0.9504
37,0.9498
38,0.9504
39,0.9498
40,0.9504
41,0.9504
42,0.9509
43,0.9520
44,0.9531
45,0.9531
46,0.9536
