epoch,val_acc
0,0.3651
1,0.0742
2,0.1949
3,0.1004
4,0.2211
5,0.3927
6,0.3607
7,0.3738
8,0.2953
9,0.1825
10,0.2655
11,0.4422
12,0.5993
13,0.4065
14,0.4335
15,0.4276
16,0.5847
17,0.6633
18,0.6458
19,0.6735
20,0.6989
21,0.5556
22,0.4662
23,0.7062
24,0.6967
25,0.7076
26,0.7025
27,0.6415
28,0.6705
29,0.6640
30,0.7222
31,0.7389
32,0.7098
33,0.7753
34,0.7731
35,0.7644
36,0.7985
37,0.6378
38,0.7207
39,0.7404
40,0.7847
41,0.7796
42,0.7673
43,0.7665
44,0.7818
45,0.7855
46,0.7898
47,0.8044
48,0.8175
49,0.8240
50,0.8189
51,0.8429
52,0.8487
53,0.8364
54,0.8335
55,0.8407
56,0.8458
57,0.8509
58,0.8545
59,0.8582
60,0.8589
61,0.8538
62,0.8575
63,0.8545
64,0.8640
65,0.8604
66,0.8611
67,0.8655
68,0.8669
69,0.8676
70,0.8669
71,0.8749
72,0.8778
73,0.8785
74,0.8807
75,0.8815
76,0.8836
77,0.8785
78,0.8829
79,0.8844
80,0.8858
81,0.8844
82,0.8822
83,0.8858
84,0.8851
85,0.8851
86,0.8836
87,0.8807
88,0.8844
89,0.8836
90,0.8873
91,0.8873
92,0.8880
93,0.8902
94,0.8895
95,0.8880
96,0.8895
97,0.8924
98,0.8895
99,0.8909
100,0.8938
101,0.8916
102,0.8931
103,0.8945
104,0.8975
105,0.8945
106,0.8967
107,0.8953
108,0.8975
109,0.8960
110,0.8967
111,0.8989
112,0.8967
113,0.8960
114,0.8960
115,0.8982
116,0.8989
117,0.9011
118,0.9018
119,0.9025
120,0.9025
121,0.9004
122,0.9004
123,0.9011
124,0.9018
125,0.9025
126,0.9025
127,0.9025
128,0.9040
129,0.9040
130,0.9033
131,0.9047
132,0.9047
133,0.9076
134,0.9069
135,0.9076
136,0.9069
137,0.9062
138,0.9062
139,0.9084
140,0.9105
141,0.9113
142,0.9105
143,0.9091
144,0.9098
145,0.9113
146,0.9127
147,0.9105
148,0.9113
149,0.9135
150,0.9127
151,0.9127
152,0.9113
153,0.9105
154,0.9142
155,0.9127
156,0.9135
157,0.9127
158,0.9120
159,0.9135
160,0.9127
161,0.9098
162,0.9113
163,0.9135
164,0.9127
165,0.9149
166,0.9142
167,0.9120
168,0.9113
169,0.9149
170,0.9135
171,0.9142
172,0.9156
173,0.9135
174,0.9135
175,0.9142
176,0.9156
177,0.9142
178,0.9142
179,0.9164
180,0.9164
181,0.9149
182,0.9156
183,0.9156
184,0.9142
185,0.9156
186,0.9156
187,0.9149
188,0.9142
189,0.9171
190,0.9149
191,0.9149
192,0.9142
193,0.9142
194,0.9171
195,0.9156
196,0.9149
197,0.9164
198,0.9156
199,0.9156
200,0.9149
201,0.9156
202,0.9171
203,0.9171
204,0.9178
205,0.9171
206,0.9156
207,0.9164
208,0.9164
209,0.9149
210,0.9149
211,0.9164
212,0.9178
213,0.9171
214,0.9185
215,0.9156
216,0.9156
217,0.9149
218,0.9171
219,0.9164
220,0.9156
221,0.9178
222,0.9185
223,0.9185
224,0.9156
225,0.9171
226,0.9185
227,0.9178
228,0.9171
229,0.9164
230,0.9200
231,0.9193
232,0.9193
233,0.9185
234,0.9193
235,0.9185
236,0.9178
237,0.9178
238,0.9185
239,0.9171
240,0.9178
241,0.9178
242,0.9171
243,0.9164
244,0.9178
245,0.9185
246,0.9178
247,0.9200
248,0.9178
249,0.9156
250,0.9149
