epoch,val_acc
0,0.3111
1,0.3000
2,0.3185
3,0.4000
4,0.5037
5,0.5889
6,0.6630
7,0.7037
8,0.7444
9,0.7593
10,0.7741
11,0.7889
12,0.7889
13,0.7926
14,0.8000
15,0.7926
16,0.7963
17,0.7963
18,0.7926
19,0.7963
20,0.7963
21,0.8000
22,0.7926
23,0.7963
24,0.7963
25,0.8037
26,0.8000
27,0.7963
28,0.8000
29,0.8000
30,0.7926
31,0.7926
32,0.7926
33,0.7852
34,0.7815
35,0.7852
36,0.7889
37,0.7889
38,0.8000
39,0.7889
40,0.7889
41,0.7889
42,0.7852
43,0.7852
44,0.7889
45,0.7889
