epoch,val_acc
0,0.3111
1,0.3000
2,0.3185
3,0.4037
4,0.5037
5,0.5889
6,0.6593
7,0.7037
8,0.7407
9,0.7556
10,0.7667
11,0.7852
12,0.7852
13,0.7926
14,0.7963
15,0.7889
16,0.7963
17,0.7926
18,0.7889
19,0.7926
20,0.7926
21,0.8000
22,0.7926
23,0.7963
24,0.7963
25,0.8000
26,0.8037
27,0.7963
28,0.8037
29,0.8037
30,0.7926
31,0.7889
32,0.7889
33,0.7852
34,0.7815
35,0.7815
36,0.7852
37,0.7926
38,0.7963
39,0.7963
40,0.7926
41,0.7926
42,0.7926
43,0.7926
44,0.7889
45,0.7889
46,0.7926
