epoch,val_acc
0,0.3185
1,0.3111
2,0.6481
3,0.6815
4,0.6926
5,0.6926
6,0.7148
7,0.7407
8,0.7519
9,0.7630
10,0.7556
11,0.7667
12,0.7704
13,0.7778
14,0.7778
15,0.7741
16,0.7815
17,0.7741
18,0.7704
19,0.7630
20,0.7667
21,0.7667
22,0.7630
23,0.7667
24,0.7815
25,0.7889
26,0.7852
27,0.7852
28,0.7852
29,0.7852
30,0.7815
31,0.7852
32,0.7852
33,0.7889
34,0.7889
35,0.7889
36,0.7926
37,0.7926
38,0.7889
39,0.7852
40,0.7815
41,0.7815
42,0.7815
43,0.7852
44,0.7889
45,0.7889
46,0.7889
47,0.7889
48,0.7889
49,0.7778
50,0.7741
51,0.7778
52,0.7778
53,0.7778
54,0.7778
55,0.7778
56,0.7778
