epoch,val_acc
0,0.3137
1,0.2471
2,0.1817
3,0.1503
4,0.2680
5,0.2771
6,0.2719
7,0.2092
8,0.4784
9,0.4954
10,0.5516
11,0.5216
12,0.5203
13,0.5373
14,0.5529
15,0.5739
16,0.5464
17,0.5516
18,0.5725
19,0.6340
20,0.6889
21,0.7386
22,0.7529
23,0.7438
24,0.7359
25,0.7320
26,0.7346
27,0.7516
28,0.7778
29,0.8039
30,0.7752
31,0.8458
32,0.8497
33,0.8562
34,0.8549
35,0.8627
36,0.8680
37,0.8719
38,0.8837
39,0.9020
40,0.9033
41,0.9072
42,0.9007
43,0.8915
44,0.8954
45,0.9020
46,0.9072
47,0.9111
48,0.9111
49,0.9098
50,0.9150
51,0.9190
52,0.9203
53,0.9268
54,0.9281
55,0.9307
56,0.9373
57,0.9399
58,0.9438
59,0.9464
60,0.9438
61,0.9477
62,0.9490
63,0.9477
64,0.9503
65,0.9529
66,0.9503
67,0.9490
68,0.9477
69,0.9490
70,0.9490
71,0.9516
72,0.9516
73,0.9516
74,0.9503
75,0.9503
76,0.9516
77,0.9529
78,0.9529
79,0.9529
80,0.9516
81,0.9529
82,0.9529
83,0.9542
84,0.9542
85,0.9542
86,0.9529
87,0.9529
88,0.9542
89,0.9542
90,0.9529
91,0.9542
92,0.9542
93,0.9556
94,0.9556
95,0.9556
96,0.9556
97,0.9556
98,0.9556
99,0.9542
100,0.9569
101,0.9542
102,0.9556
103,0.9490
104,0.9582
105,0.9542
106,0.9569
107,0.9569
108,0.9516
109,0.9582
110,0.9556
111,0.9516
112,0.9569
113,0.9542
114,0.9542
115,0.9595
116,0.9529
117,0.9582
118,0.9595
119,0.9529
120,0.9595
121,0.9569
122,0.9569
123,0.9595
124,0.9569
125,0.9582
126,0.9582
127,0.9556
128,0.9582
129,0.9582
130,0.9556
131,0.9582
132,0.9556
133,0.9569
134,0.9582
135,0.9556
