epoch,val_acc
0,0.4480
1,0.4602
2,0.4683
3,0.4911
4,0.5419
5,0.6073
6,0.6930
7,0.7478
8,0.7798
9,0.7925
10,0.8001
11,0.8087
12,0.8204
13,0.8275
14,0.8326
15,0.8356
16,0.8376
17,0.8392
18,0.8412
19,0.8417
20,0.8458
21,0.8478
22,0.8493
23,0.8508
24,0.8508
25,0.8513
26,0.8544
27,0.8549
28,0.8584
29,0.8615
30,0.8635
31,0.8661
32,0.8671
33,0.8666
34,0.8686
35,0.8711
36,0.8716
37,0.8737
38,0.8747
39,0.8747
40,0.8762
41,0.8757
42,0.8747
43,0.8742
44,0.8737
45,0.8747
46,0.8757
47,0.8767
48,0.8772
49,0.8762
50,0.8782
51,0.8767
52,0.8792
53,0.8777
54,0.8772
55,0.8782
56,0.8782
57,0.8792
58,0.8792
59,0.8798
60,0.8798
61,0.8798
62,0.8803
63,0.8808
64,0.8813
65,0.8813
66,0.8818
67,0.8818
68,0.8808
69,0.8813
70,0.8818
71,0.8823
72,0.8828
73,0.8833
74,0.8848
75,0.8848
76,0.8843
77,0.8853
78,0.8853
79,0.8858
80,0.8853
81,0.8858
82,0.8864
83,0.8864
84,0.8864
85,0.8858
86,0.8853
87,0.8848
88,0.8853
89,0.8869
90,0.8869
91,0.8864
92,0.8858
93,0.8858
94,0.8864
95,0.8864
96,0.8864
97,0.8864
98,0.8864
99,0.8864
100,0.8864
101,0.8874
102,0.8879
103,0.8884
104,0.8884
105,0.8884
106,0.8884
107,0.8884
108,0.8884
109,0.8879
110,0.8879
111,0.8879
112,0.8879
113,0.8889
114,0.8889
115,0.8884
116,0.8884
117,0.8884
118,0.8884
119,0.8884
120,0.8894
121,0.8894
122,0.8894
123,0.8899
124,0.8899
125,0.8889
126,0.8884
127,0.8894
128,0.8884
129,0.8899
130,0.8869
131,0.8889
132,0.8874
133,0.8879
134,0.8864
135,0.8894
136,0.8899
137,0.8869
138,0.8879
139,0.8874
140,0.8869
141,0.8879
142,0.8874
143,0.8899
