epoch,val_acc
0,0.5500
1,0.6129
2,0.6408
3,0.6651
4,0.6794
5,0.6956
6,0.7154
7,0.7428
8,0.7626
9,0.7808
10,0.7869
11,0.7960
12,0.8021
13,0.8067
14,0.8158
15,0.8224
16,0.8275
17,0.8336
18,0.8361
19,0.8366
20,0.8402
21,0.8412
22,0.8422
23,0.8427
24,0.8442
25,0.8447
26,0.8463
27,0.8488
28,0.8524
29,0.8529
30,0.8534
31,0.8539
32,0.8544
33,0.8564
34,0.8569
35,0.8579
36,0.8579
37,0.8584
38,0.8605
39,0.8600
40,0.8574
41,0.8579
42,0.8579
43,0.8584
44,0.8579
45,0.8590
46,0.8595
47,0.8595
48,0.8590
49,0.8595
50,0.8605
51,0.8610
52,0.8635
53,0.8650
54,0.8650
55,0.8640
56,0.8625
57,0.8640
58,0.8640
59,0.8640
60,0.8666
61,0.8650
62,0.8640
63,0.8650
64,0.8650
65,0.8656
66,0.8671
67,0.8681
68,0.8706
69,0.8716
70,0.8716
71,0.8711
72,0.8706
73,0.8716
74,0.8721
75,0.8732
76,0.8727
77,0.8732
78,0.8727
79,0.8737
80,0.8737
81,0.8757
82,0.8757
83,0.8752
84,0.8752
85,0.8737
86,0.8747
87,0.8762
88,0.8757
89,0.8762
90,0.8767
91,0.8767
92,0.8777
93,0.8787
94,0.8782
95,0.8787
96,0.8792
97,0.8792
98,0.8792
99,0.8787
100,0.8787
101,0.8787
102,0.8792
103,0.8798
104,0.8798
105,0.8782
106,0.8792
107,0.8792
108,0.8798
109,0.8798
110,0.8798
111,0.8803
112,0.8808
113,0.8798
114,0.8798
115,0.8782
116,0.8798
117,0.8813
118,0.8823
119,0.8833
120,0.8843
121,0.8843
122,0.8838
123,0.8833
124,0.8828
125,0.8838
126,0.8838
127,0.8833
128,0.8828
129,0.8843
130,0.8848
131,0.8848
132,0.8853
133,0.8864
134,0.8858
135,0.8853
136,0.8848
137,0.8843
138,0.8858
139,0.8848
140,0.8853
141,0.8848
142,0.8843
143,0.8843
144,0.8858
145,0.8843
146,0.8853
147,0.8858
148,0.8879
149,0.8889
150,0.8869
151,0.8864
152,0.8858
153,0.8864
154,0.8874
155,0.8874
156,0.8884
157,0.8874
158,0.8879
159,0.8879
160,0.8884
161,0.8884
162,0.8884
163,0.8879
164,0.8889
165,0.8884
166,0.8899
167,0.8909
168,0.8909
169,0.8914
170,0.8909
171,0.8904
172,0.8894
173,0.8894
174,0.8909
175,0.8904
176,0.8914
177,0.8904
178,0.8904
179,0.8909
180,0.8909
181,0.8899
182,0.8889
183,0.8894
184,0.8889
185,0.8889
186,0.8884
187,0.8884
188,0.8884
189,0.8889
