epoch,val_acc
0,0.3151
1,0.3623
2,0.3376
3,0.3027
4,0.3297
5,0.3645
6,0.4003
7,0.4700
8,0.5004
9,0.5194
10,0.5146
11,0.5150
12,0.5269
13,0.5419
14,0.5512
15,0.5583
16,0.5693
17,0.5816
18,0.5887
19,0.6117
20,0.6249
21,0.6355
22,0.6386
23,0.6434
24,0.6500
25,0.6589
26,0.6712
27,0.6774
28,0.6876
29,0.6876
30,0.6937
31,0.7017
32,0.7056
33,0.7092
34,0.7123
35,0.7202
36,0.7207
37,0.7237
38,0.7286
39,0.7361
40,0.7387
41,0.7405
42,0.7401
43,0.7454
44,0.7485
45,0.7538
46,0.7560
47,0.7595
48,0.7621
49,0.7670
50,0.7679
51,0.7670
52,0.7688
53,0.7736
54,0.7754
55,0.7714
56,0.7696
57,0.7754
58,0.7780
59,0.7807
60,0.7780
61,0.7780
62,0.7820
63,0.7816
64,0.7816
65,0.7824
66,0.7829
67,0.7855
68,0.7882
69,0.7899
70,0.7913
71,0.7921
72,0.7913
73,0.7930
74,0.7944
75,0.7926
76,0.7948
77,0.7979
78,0.7988
79,0.7992
80,0.7988
81,0.7996
82,0.8019
83,0.8027
84,0.8032
85,0.8027
86,0.7992
87,0.8036
88,0.8023
89,0.8049
90,0.8041
91,0.8045
92,0.8054
93,0.8063
94,0.8036
95,0.8032
96,0.8063
97,0.8085
98,0.8080
99,0.8058
100,0.8063
101,0.8076
102,0.8076
103,0.8080
104,0.8076
105,0.8076
106,0.8098
107,0.8094
108,0.8089
109,0.8102
110,0.8098
111,0.8102
112,0.8098
113,0.8098
114,0.8102
115,0.8107
116,0.8102
117,0.8098
118,0.8102
119,0.8102
120,0.8102
121,0.8116
122,0.8120
123,0.8120
124,0.8116
125,0.8124
126,0.8124
127,0.8133
128,0.8142
129,0.8138
130,0.8133
131,0.8160
132,0.8142
133,0.8138
134,0.8129
135,0.8138
136,0.8147
137,0.8151
138,0.8164
139,0.8155
140,0.8177
141,0.8164
142,0.8169
143,0.8173
144,0.8173
145,0.8195
146,0.8155
147,0.8164
148,0.8160
149,0.8186
150,0.8191
151,0.8191
152,0.8191
153,0.8177
154,0.8186
155,0.8186
156,0.8186
157,0.8199
158,0.8173
159,0.8186
160,0.8177
161,0.8191
162,0.8199
163,0.8217
164,0.8213
165,0.8235
166,0.8213
167,0.8226
168,0.8204
169,0.8217
170,0.8235
171,0.8230
172,0.8217
173,0.8208
174,0.8222
175,0.8235
176,0.8226
177,0.8213
178,0.8191
179,0.8186
180,0.8195
181,0.8204
182,0.8217
183,0.8230
184,0.8222
185,0.8195
