epoch,val_acc
0,0.2564
1,0.2948
2,0.3658
3,0.3985
4,0.4263
5,0.4748
6,0.4943
7,0.5000
8,0.5093
9,0.5269
10,0.5380
11,0.5552
12,0.5583
13,0.5781
14,0.5874
15,0.5975
16,0.6099
17,0.6218
18,0.6364
19,0.6372
20,0.6452
21,0.6514
22,0.6580
23,0.6659
24,0.6730
25,0.6809
26,0.6809
27,0.6858
28,0.6889
29,0.6929
30,0.7021
31,0.7096
32,0.7123
33,0.7140
34,0.7140
35,0.7162
36,0.7207
37,0.7251
38,0.7282
39,0.7277
40,0.7268
41,0.7308
42,0.7339
43,0.7383
44,0.7418
45,0.7436
46,0.7445
47,0.7462
48,0.7498
49,0.7502
50,0.7529
51,0.7560
52,0.7573
53,0.7590
54,0.7613
55,0.7643
56,0.7661
57,0.7674
58,0.7701
59,0.7714
60,0.7736
61,0.7723
62,0.7741
63,0.7749
64,0.7771
65,0.7771
66,0.7785
67,0.7807
68,0.7816
69,0.7820
70,0.7846
71,0.7860
72,0.7860
73,0.7864
74,0.7873
75,0.7877
76,0.7908
77,0.7899
78,0.7904
79,0.7913
80,0.7926
81,0.7930
82,0.7926
83,0.7957
84,0.7961
85,0.7952
86,0.7957
87,0.7970
88,0.7974
89,0.7988
90,0.7996
91,0.7996
92,0.7992
93,0.7996
94,0.8001
95,0.8023
96,0.7992
97,0.7988
98,0.8005
99,0.8005
100,0.8023
101,0.8005
102,0.7992
103,0.7988
104,0.7996
105,0.7996
106,0.8014
107,0.8023
108,0.8019
109,0.8027
110,0.8049
111,0.8054
112,0.8054
113,0.8071
114,0.8049
115,0.8045
116,0.8054
117,0.8058
118,0.8071
119,0.8045
120,0.8027
121,0.8041
122,0.8071
123,0.8071
124,0.8049
125,0.8041
126,0.8023
127,0.8023
128,0.8045
129,0.8049
130,0.8049
131,0.8045
132,0.8032
133,0.8049
