epoch,val_acc
0,0.6667
1,0.6111
2,0.7222
3,0.7222
4,0.7222
5,0.7222
6,0.7222
7,0.7222
8,0.7222
9,0.7778
10,0.7778
11,0.7778
12,0.7222
13,0.7222
14,0.7222
15,0.7778
16,0.7778
17,0.7778
18,0.7778
19,0.8333
20,0.8333
21,0.8333
22,0.8333
23,0.8333
24,0.8333
25,0.8333
26,0.8333
27,0.8889
28,0.8889
29,0.8333
30,0.8333
31,0.8333
32,0.8333
33,0.8333
34,0.8333
35,0.8333
36,0.8333
37,0.8333
38,0.8333
39,0.8333
40,0.8333
41,0.8333
42,0.8333
43,0.8889
44,0.8889
45,0.8889
46,0.8889
47,0.8889
