epoch,val_acc
0,0.7779
1,0.7779
2,0.7779
3,0.7719
4,0.7702
5,0.7719
6,0.7753
7,0.7736
8,0.7779
9,0.7779
10,0.7736
11,0.7753
12,0.7728
13,0.7660
14,0.7677
15,0.7719
16,0.7728
17,0.7762
18,0.7753
19,0.7779
20,0.7787
21,0.7770
22,0.7736
23,0.7745
24,0.7804
25,0.7787
26,0.7796
27,0.7804
28,0.7821
29,0.7804
30,0.7736
31,0.7770
32,0.7736
33,0.7796
34,0.7872
35,0.7847
36,0.7872
37,0.7804
38,0.7762
39,0.7770
40,0.7779
41,0.7847
42,0.7847
43,0.7838
44,0.7838
45,0.7804
46,0.7779
47,0.7796
48,0.7813
49,0.7830
50,0.7813
51,0.7804
52,0.7728
53,0.7753
54,0.7770
