epoch,val_acc
0,0.1897
1,0.2342
2,0.4624
3,0.4761
4,0.5265
5,0.5530
6,0.5675
7,0.5778
8,0.5906
9,0.5915
10,0.6103
11,0.6402
12,0.6598
13,0.6718
14,0.6829
15,0.6991
16,0.7171
17,0.7265
18,0.7239
19,0.7342
20,0.7419
21,0.7436
22,0.7547
23,0.7615
24,0.7667
25,0.7726
26,0.7778
27,0.7803
28,0.7906
29,0.7880
30,0.7897
31,0.7915
32,0.7932
33,0.8009
34,0.8026
35,0.7991
36,0.8085
37,0.8094
38,0.8111
39,0.8179
40,0.8162
41,0.8162
42,0.8214
43,0.8214
44,0.8231
45,0.8291
46,0.8308
47,0.8333
48,0.8342
49,0.8325
50,0.8333
51,0.8333
52,0.8385
53,0.8359
54,0.8402
55,0.8359
56,0.8342
57,0.8333
58,0.8325
59,0.8342
60,0.8350
61,0.8368
62,0.8342
63,0.8402
64,0.8333
65,0.8402
66,0.8359
67,0.8385
68,0.8402
69,0.8359
70,0.8385
71,0.8385
72,0.8393
73,0.8402
74,0.8376
