epoch,val_acc
0,0.2781
1,0.3279
2,0.3838
3,0.3838
4,0.3838
5,0.3838
6,0.3814
7,0.3826
8,0.3806
9,0.3814
10,0.3842
11,0.3826
12,0.3822
13,0.3855
14,0.3855
15,0.3855
16,0.3879
17,0.3883
18,0.3875
19,0.3887
20,0.3940
21,0.3957
22,0.3993
23,0.3993
24,0.4030
25,0.4018
26,0.4022
27,0.4002
28,0.4026
29,0.4038
30,0.4038
31,0.4063
32,0.4079
33,0.4100
34,0.4132
35,0.4218
36,0.4255
37,0.4243
38,0.4243
39,0.4238
40,0.4259
41,0.4296
42,0.4300
43,0.4316
44,0.4328
45,0.4324
46,0.4304
47,0.4324
48,0.4341
49,0.4336
50,0.4332
51,0.4332
52,0.4316
53,0.4312
54,0.4304
55,0.4308
56,0.4304
57,0.4308
58,0.4296
59,0.4283
60,0.4287
61,0.4287
62,0.4320
63,0.4332
64,0.4320
65,0.4336
66,0.4345
67,0.4324
68,0.4353
69,0.4328
70,0.4345
71,0.4345
72,0.4336
73,0.4345
74,0.4353
75,0.4369
76,0.4385
77,0.4434
78,0.4394
79,0.4418
80,0.4443
81,0.4434
82,0.4439
83,0.4434
84,0.4455
85,0.4475
86,0.4471
87,0.4471
88,0.4467
89,0.4475
90,0.4475
91,0.4492
92,0.4500
93,0.4508
94,0.4537
95,0.4516
96,0.4528
97,0.4528
98,0.4508
99,0.4520
100,0.4565
101,0.4557
102,0.4553
103,0.4565
104,0.4577
105,0.4606
106,0.4635
107,0.4626
108,0.4626
109,0.4630
110,0.4586
111,0.4581
112,0.4598
113,0.4561
114,0.4537
115,0.4541
116,0.4590
117,0.4622
118,0.4635
119,0.4614
120,0.4622
121,0.4606
122,0.4610
123,0.4614
124,0.4622
125,0.4606
126,0.4639
127,0.4667
128,0.4651
129,0.4675
130,0.4704
131,0.4647
132,0.4655
133,0.4684
134,0.4688
135,0.4700
136,0.4712
137,0.4679
138,0.4684
139,0.4679
140,0.4679
141,0.4651
142,0.4663
143,0.4663
144,0.4675
145,0.4655
146,0.4659
147,0.4635
148,0.4655
149,0.4679
150,0.4688
151,0.4663
152,0.4692
153,0.4688
154,0.4712
155,0.4720
156,0.4704
157,0.4692
158,0.4712
159,0.4688
160,0.4700
161,0.4679
162,0.4651
163,0.4679
164,0.4647
165,0.4679
166,0.4684
167,0.4679
168,0.4667
169,0.4692
170,0.4700
171,0.4692
172,0.4675
173,0.4692
174,0.4700
175,0.4696
