epoch,val_acc
0,0.6994
1,0.7747
2,0.8663
3,0.8969
4,0.9165
5,0.9127
6,0.9165
7,0.9225
8,0.9242
9,0.9264
10,0.9334
11,0.9351
12,0.9334
13,0.9324
14,0.9345
15,0.9378
16,0.9454
17,0.9438
18,0.9438
19,0.9444
20,0.9427
21,0.9422
22,0.9411
23,0.9449
24,0.9493
25,0.9471
26,0.9498
27,0.9509
28,0.9514
29,0.9509
30,0.9509
31,0.9493
32,0.9487
33,0.9476
34,0.9476
35,0.9504
36,0.9498
37,0.9520
38,0.9520
39,0.9514
40,0.9514
41,0.9514
42,0.9520
43,0.9509
44,0.9504
45,0.9487
46,0.9482
47,0.9482
48,0.9482
49,0.9493
50,0.9487
51,0.9493
52,0.9504
53,0.9498
54,0.9498
55,0.9509
56,0.9509
57,0.9509
