epoch,val_acc
0,0.3708
1,0.4045
2,0.4382
3,0.4382
4,0.4157
5,0.4157
6,0.4157
7,0.4382
8,0.4382
9,0.4494
10,0.4494
11,0.4494
12,0.4494
13,0.4494
14,0.4382
15,0.4382
16,0.4382
17,0.4382
18,0.4270
19,0.4270
20,0.4270
21,0.4382
22,0.4270
23,0.4270
24,0.4382
25,0.4382
26,0.4382
27,0.4494
28,0.4607
29,0.4494
30,0.4494
31,0.4494
32,0.4494
33,0.4494
34,0.4494
35,0.4494
36,0.4719
37,0.4719
38,0.4831
39,0.4831
40,0.4831
41,0.4831
42,0.4831
43,0.4719
44,0.4719
45,0.4719
46,0.4719
47,0.4719
48,0.4719
49,0.4607
50,0.4607
51,0.4607
52,0.4607
53,0.4607
54,0.4607
55,0.4607
56,0.4607
57,0.4607
58,0.4607
