epoch,val_acc
0,0.3760
1,0.1927
2,0.2276
3,0.1404
4,0.1047
5,0.2865
6,0.3571
7,0.4473
8,0.4684
9,0.4727
10,0.4938
11,0.4916
12,0.5018
13,0.5287
14,0.5680
15,0.5884
16,0.5927
17,0.5862
18,0.6167
19,0.6385
20,0.6713
21,0.6793
22,0.6807
23,0.6996
24,0.7178
25,0.7178
26,0.7200
27,0.7324
28,0.7425
29,0.7578
30,0.7644
31,0.7724
32,0.7724
33,0.7804
34,0.7927
35,0.7985
36,0.8145
37,0.8175
38,0.8225
39,0.8269
40,0.8269
41,0.8349
42,0.8385
43,0.8487
44,0.8495
45,0.8444
46,0.8531
47,0.8575
48,0.8676
49,0.8669
50,0.8633
51,0.8640
52,0.8720
53,0.8742
54,0.8735
55,0.8705
56,0.8713
57,0.8778
58,0.8764
59,0.8764
60,0.8807
61,0.8785
62,0.8844
63,0.8851
64,0.8873
65,0.8836
66,0.8851
67,0.8858
68,0.8880
69,0.8902
70,0.8895
71,0.8916
72,0.8902
73,0.8895
74,0.8873
75,0.8895
76,0.8902
77,0.8895
78,0.8902
79,0.8909
80,0.8916
81,0.8924
82,0.8931
83,0.8924
84,0.8916
85,0.8945
86,0.8909
87,0.8960
88,0.8938
89,0.8960
90,0.8938
91,0.8960
92,0.8953
93,0.8989
94,0.8982
95,0.8982
96,0.8996
97,0.9011
98,0.8982
99,0.8975
100,0.8996
101,0.8975
102,0.9018
103,0.9004
104,0.9004
105,0.9004
106,0.9004
107,0.9018
108,0.9011
109,0.9004
110,0.9018
111,0.9018
112,0.9011
113,0.9025
114,0.9004
115,0.9011
116,0.8996
117,0.9062
118,0.8996
119,0.9033
120,0.8982
121,0.8938
122,0.9040
123,0.9018
124,0.9018
125,0.9033
126,0.9011
127,0.9004
128,0.9025
129,0.9047
130,0.8989
131,0.9033
132,0.9033
133,0.8975
134,0.9025
135,0.9091
136,0.9069
137,0.8938
138,0.9025
139,0.9033
140,0.9040
141,0.8996
142,0.9055
143,0.9062
144,0.9025
145,0.9069
146,0.9033
147,0.9055
148,0.9047
149,0.9076
150,0.9033
151,0.9033
152,0.9033
153,0.9047
154,0.9025
155,0.9062
