epoch,val_acc
0,0.7850
1,0.7850
2,0.7850
3,0.7850
4,0.7850
5,0.7850
6,0.7850
7,0.7850
8,0.7850
9,0.7850
10,0.7850
11,0.7870
12,0.7880
13,0.7940
14,0.7990
15,0.8060
16,0.8080
17,0.8080
18,0.8100
19,0.8100
20,0.8100
21,0.8100
22,0.8100
23,0.8120
24,0.8110
25,0.8130
26,0.8200
27,0.8260
28,0.8270
29,0.8270
30,0.8270
31,0.8290
32,0.8320
33,0.8350
34,0.8350
35,0.8340
36,0.8340
37,0.8350
38,0.8350
39,0.8350
40,0.8360
41,0.8390
42,0.8380
43,0.8370
44,0.8380
45,0.8370
46,0.8390
47,0.8410
48,0.8430
49,0.8430
50,0.8420
51,0.8480
52,0.8490
53,0.8500
54,0.8500
55,0.8490
56,0.8500
57,0.8500
58,0.8510
59,0.8520
60,0.8510
61,0.8500
62,0.8510
63,0.8510
64,0.8510
65,0.8510
66,0.8500
67,0.8500
68,0.8500
69,0.8500
70,0.8490
71,0.8490
72,0.8490
73,0.8490
74,0.8490
75,0.8470
76,0.8470
77,0.8470
78,0.8470
79,0.8470
