epoch,val_acc
0,0.7850
1,0.7850
2,0.7850
3,0.7850
4,0.7850
5,0.7850
6,0.7850
7,0.7850
8,0.7850
9,0.7850
10,0.7850
11,0.7870
12,0.7880
13,0.7910
14,0.7980
15,0.8050
16,0.8060
17,0.8060
18,0.8080
19,0.8090
20,0.8100
21,0.8100
22,0.8100
23,0.8120
24,0.8110
25,0.8100
26,0.8160
27,0.8200
28,0.8250
29,0.8260
30,0.8270
31,0.8260
32,0.8270
33,0.8290
34,0.8320
35,0.8330
36,0.8340
37,0.8350
38,0.8350
39,0.8330
40,0.8370
41,0.8380
42,0.8360
43,0.8360
44,0.8360
45,0.8390
46,0.8400
47,0.8400
48,0.8430
49,0.8440
50,0.8440
51,0.8460
52,0.8470
53,0.8470
54,0.8460
55,0.8460
56,0.8460
57,0.8470
58,0.8470
59,0.8470
60,0.8480
61,0.8480
62,0.8500
63,0.8490
64,0.8490
65,0.8490
66,0.8480
67,0.8490
68,0.8490
69,0.8490
70,0.8490
71,0.8490
72,0.8490
73,0.8490
74,0.8480
75,0.8490
76,0.8490
77,0.8490
78,0.8490
79,0.8490
80,0.8490
81,0.8490
82,0.8470
