epoch,val_acc
0,0.2784
1,0.2118
2,0.2078
3,0.1503
4,0.1595
5,0.1686
6,0.1830
7,0.1791
8,0.1203
9,0.1163
10,0.1516
11,0.2327
12,0.3111
13,0.4405
14,0.5516
15,0.5137
16,0.4824
17,0.5190
18,0.5595
19,0.5569
20,0.5294
21,0.5438
22,0.5725
23,0.6065
24,0.6157
25,0.6196
26,0.6157
27,0.6144
28,0.6118
29,0.6261
30,0.6536
31,0.7020
32,0.7216
33,0.7399
34,0.7072
35,0.7033
36,0.7176
37,0.7085
38,0.7111
39,0.7190
40,0.7464
41,0.7817
42,0.7961
43,0.7791
44,0.7438
45,0.7556
46,0.7765
47,0.7817
48,0.7621
49,0.8222
50,0.8235
51,0.7987
52,0.7974
53,0.8157
54,0.8301
55,0.8366
56,0.8549
57,0.8745
58,0.8771
59,0.8902
60,0.8928
61,0.8967
62,0.9098
63,0.9085
64,0.9059
65,0.9072
66,0.9111
67,0.9137
68,0.9137
69,0.9111
70,0.9124
71,0.9150
72,0.9176
73,0.9163
74,0.9176
75,0.9203
76,0.9163
77,0.9190
78,0.9203
79,0.9203
80,0.9216
81,0.9229
82,0.9242
83,0.9242
84,0.9242
85,0.9255
86,0.9229
87,0.9242
88,0.9268
89,0.9281
90,0.9333
91,0.9346
92,0.9359
93,0.9346
94,0.9333
95,0.9359
96,0.9346
97,0.9359
98,0.9359
99,0.9359
100,0.9386
101,0.9359
102,0.9386
103,0.9359
104,0.9386
105,0.9412
106,0.9346
107,0.9425
108,0.9386
109,0.9399
110,0.9438
111,0.9412
112,0.9438
113,0.9464
114,0.9425
115,0.9451
116,0.9451
117,0.9477
118,0.9464
119,0.9451
120,0.9477
121,0.9503
122,0.9477
123,0.9490
124,0.9516
125,0.9503
126,0.9516
127,0.9503
128,0.9503
129,0.9516
130,0.9516
131,0.9503
132,0.9516
133,0.9542
134,0.9503
135,0.9490
136,0.9503
137,0.9438
138,0.9490
139,0.9542
140,0.9569
141,0.9490
142,0.9503
143,0.9529
144,0.9516
145,0.9529
146,0.9503
147,0.9529
148,0.9556
149,0.9529
150,0.9556
151,0.9595
152,0.9503
153,0.9490
154,0.9516
155,0.9556
156,0.9569
157,0.9503
158,0.9569
159,0.9556
160,0.9516
161,0.9582
162,0.9542
163,0.9529
164,0.9569
165,0.9529
166,0.9556
167,0.9556
168,0.9542
169,0.9569
170,0.9582
171,0.9529
