epoch,val_acc
0,0.2118
1,0.2627
2,0.0745
3,0.1150
4,0.1111
5,0.1451
6,0.4288
7,0.4392
8,0.4235
9,0.0784
10,0.1137
11,0.1425
12,0.3686
13,0.2824
14,0.3582
15,0.4144
16,0.2784
17,0.3203
18,0.4680
19,0.5386
20,0.5203
21,0.3542
22,0.5634
23,0.5359
24,0.7111
25,0.6235
26,0.5987
27,0.6510
28,0.6484
29,0.7216
30,0.7255
31,0.7569
32,0.8131
33,0.8235
34,0.8170
35,0.8275
36,0.8183
37,0.7725
38,0.8039
39,0.8353
40,0.8588
41,0.8719
42,0.8863
43,0.8928
44,0.8889
45,0.8915
46,0.8902
47,0.8941
48,0.8980
49,0.9098
50,0.9059
51,0.9124
52,0.9176
53,0.9176
54,0.9190
55,0.9190
56,0.9229
57,0.9190
58,0.9190
59,0.9216
60,0.9242
61,0.9307
62,0.9294
63,0.9281
64,0.9255
65,0.9255
66,0.9242
67,0.9281
68,0.9346
69,0.9412
70,0.9412
71,0.9359
72,0.9359
73,0.9373
74,0.9412
75,0.9399
76,0.9386
77,0.9359
78,0.9359
79,0.9373
80,0.9386
81,0.9438
82,0.9438
83,0.9451
84,0.9438
85,0.9438
86,0.9438
87,0.9438
88,0.9451
89,0.9425
90,0.9412
91,0.9412
92,0.9438
93,0.9464
94,0.9464
95,0.9477
96,0.9477
97,0.9477
98,0.9477
99,0.9477
100,0.9477
101,0.9477
102,0.9477
103,0.9477
104,0.9490
105,0.9490
106,0.9490
107,0.9503
108,0.9503
109,0.9503
110,0.9503
111,0.9516
112,0.9516
113,0.9516
114,0.9516
115,0.9516
116,0.9516
117,0.9516
118,0.9516
119,0.9516
120,0.9516
121,0.9516
122,0.9529
123,0.9529
124,0.9529
125,0.9529
126,0.9529
127,0.9529
128,0.9529
129,0.9529
130,0.9529
131,0.9529
132,0.9529
133,0.9529
134,0.9529
135,0.9529
136,0.9529
137,0.9516
138,0.9516
139,0.9516
140,0.9516
141,0.9516
142,0.9516
