epoch,val_acc
0,0.2935
1,0.3817
2,0.3875
3,0.3981
4,0.4192
5,0.4254
6,0.4276
7,0.4351
8,0.4541
9,0.4832
10,0.5150
11,0.5362
12,0.5538
13,0.5569
14,0.5596
15,0.5618
16,0.5697
17,0.5803
18,0.5891
19,0.5927
20,0.5922
21,0.5993
22,0.6094
23,0.6209
24,0.6293
25,0.6417
26,0.6492
27,0.6558
28,0.6589
29,0.6637
30,0.6659
31,0.6695
32,0.6783
33,0.6836
34,0.6924
35,0.6951
36,0.6995
37,0.7048
38,0.7118
39,0.7145
40,0.7145
41,0.7184
42,0.7211
43,0.7202
44,0.7246
45,0.7268
46,0.7290
47,0.7304
48,0.7339
49,0.7365
50,0.7383
51,0.7392
52,0.7410
53,0.7418
54,0.7449
55,0.7449
56,0.7454
57,0.7471
58,0.7471
59,0.7498
60,0.7511
61,0.7493
62,0.7493
63,0.7520
64,0.7520
65,0.7524
66,0.7533
67,0.7529
68,0.7538
69,0.7551
70,0.7560
71,0.7564
72,0.7568
73,0.7577
74,0.7582
75,0.7586
76,0.7604
77,0.7604
78,0.7617
79,0.7613
80,0.7621
81,0.7630
82,0.7621
83,0.7613
84,0.7621
85,0.7635
86,0.7648
87,0.7652
88,0.7652
89,0.7657
90,0.7665
91,0.7661
92,0.7679
93,0.7679
94,0.7683
95,0.7688
96,0.7692
97,0.7692
98,0.7727
99,0.7736
100,0.7723
101,0.7718
102,0.7741
103,0.7767
104,0.7749
105,0.7745
106,0.7749
107,0.7758
108,0.7763
109,0.7754
110,0.7758
111,0.7776
112,0.7793
113,0.7807
114,0.7793
115,0.7793
116,0.7816
117,0.7838
118,0.7842
119,0.7833
120,0.7838
121,0.7816
122,0.7842
123,0.7838
124,0.7838
125,0.7833
126,0.7851
127,0.7851
128,0.7842
129,0.7851
130,0.7860
131,0.7855
132,0.7877
133,0.7886
134,0.7877
135,0.7877
136,0.7886
137,0.7904
138,0.7899
139,0.7882
140,0.7895
141,0.7899
142,0.7921
143,0.7904
144,0.7908
145,0.7904
146,0.7913
147,0.7908
148,0.7908
149,0.7921
150,0.7908
151,0.7904
152,0.7908
153,0.7921
154,0.7939
155,0.7935
156,0.7935
157,0.7944
158,0.7939
159,0.7948
160,0.7926
161,0.7939
162,0.7948
163,0.7944
164,0.7948
165,0.7948
166,0.7948
167,0.7939
168,0.7944
169,0.7948
170,0.7961
171,0.7961
172,0.7974
173,0.7957
174,0.7957
175,0.7948
176,0.7944
177,0.7952
178,0.7961
179,0.7948
180,0.7952
181,0.7966
182,0.7983
183,0.7966
184,0.7935
185,0.7948
186,0.7961
187,0.7983
188,0.7974
189,0.7952
190,0.7948
191,0.7944
192,0.7957
193,0.7952
194,0.7952
195,0.7948
196,0.7966
197,0.7966
198,0.7966
199,0.7952
200,0.7979
201,0.7966
202,0.7961
