epoch,val_acc
0,0.1795
1,0.2709
2,0.3855
3,0.5282
4,0.5068
5,0.5368
6,0.5530
7,0.5769
8,0.5897
9,0.6111
10,0.6248
11,0.6368
12,0.6556
13,0.6692
14,0.6872
15,0.6957
16,0.6966
17,0.7205
18,0.7316
19,0.7427
20,0.7530
21,0.7547
22,0.7632
23,0.7709
24,0.7744
25,0.7838
26,0.7803
27,0.7889
28,0.7889
29,0.7889
30,0.7906
31,0.7974
32,0.8034
33,0.8068
34,0.8094
35,0.8103
36,0.8068
37,0.8128
38,0.8120
39,0.8120
40,0.8128
41,0.8145
42,0.8162
43,0.8171
44,0.8179
45,0.8162
46,0.8205
47,0.8231
48,0.8239
49,0.8265
50,0.8282
51,0.8265
52,0.8282
53,0.8333
54,0.8333
55,0.8368
56,0.8393
57,0.8410
58,0.8419
59,0.8427
60,0.8419
61,0.8402
62,0.8419
63,0.8410
64,0.8402
65,0.8410
66,0.8419
67,0.8419
68,0.8427
69,0.8419
70,0.8444
71,0.8427
72,0.8444
73,0.8427
74,0.8444
75,0.8453
76,0.8385
77,0.8359
78,0.8368
79,0.8419
80,0.8462
81,0.8368
82,0.8419
83,0.8479
84,0.8350
85,0.8470
86,0.8470
87,0.8368
88,0.8444
89,0.8427
90,0.8444
91,0.8436
92,0.8444
93,0.8436
94,0.8444
95,0.8479
96,0.8487
97,0.8462
98,0.8487
99,0.8487
100,0.8436
101,0.8496
102,0.8453
103,0.8444
104,0.8462
105,0.8530
106,0.8436
107,0.8453
108,0.8504
109,0.8521
110,0.8496
111,0.8496
112,0.8513
113,0.8496
114,0.8479
115,0.8496
116,0.8479
117,0.8479
118,0.8487
119,0.8496
120,0.8487
121,0.8487
122,0.8504
123,0.8487
124,0.8462
125,0.8496
