epoch,val_acc
0,0.2068
1,0.3402
2,0.4735
3,0.5436
4,0.5513
5,0.5350
6,0.5393
7,0.5581
8,0.5675
9,0.5812
10,0.6026
11,0.6120
12,0.6162
13,0.6368
14,0.6607
15,0.6795
16,0.6889
17,0.7026
18,0.7205
19,0.7291
20,0.7368
21,0.7496
22,0.7573
23,0.7538
24,0.7590
25,0.7632
26,0.7658
27,0.7803
28,0.7812
29,0.7829
30,0.7846
31,0.7957
32,0.7974
33,0.7991
34,0.8000
35,0.8043
36,0.8043
37,0.8043
38,0.8103
39,0.8111
40,0.8128
41,0.8145
42,0.8128
43,0.8145
44,0.8179
45,0.8162
46,0.8154
47,0.8162
48,0.8171
49,0.8179
50,0.8179
51,0.8179
52,0.8197
53,0.8205
54,0.8256
55,0.8239
56,0.8239
57,0.8256
58,0.8265
59,0.8342
60,0.8308
61,0.8350
62,0.8350
63,0.8376
64,0.8393
65,0.8385
66,0.8410
67,0.8410
68,0.8436
69,0.8427
70,0.8410
71,0.8402
72,0.8462
73,0.8470
74,0.8402
75,0.8453
76,0.8427
77,0.8419
78,0.8487
79,0.8462
80,0.8402
81,0.8444
82,0.8470
83,0.8453
84,0.8427
85,0.8427
86,0.8462
87,0.8436
88,0.8521
89,0.8419
90,0.8470
91,0.8436
92,0.8436
93,0.8538
94,0.8504
95,0.8444
96,0.8487
97,0.8513
98,0.8419
99,0.8496
100,0.8530
101,0.8436
102,0.8479
103,0.8496
104,0.8530
105,0.8470
106,0.8581
107,0.8462
108,0.8556
109,0.8487
110,0.8521
111,0.8513
112,0.8538
113,0.8462
114,0.8573
115,0.8581
116,0.8479
117,0.8513
118,0.8530
119,0.8521
120,0.8530
121,0.8598
122,0.8556
123,0.8496
124,0.8521
125,0.8547
126,0.8530
127,0.8538
128,0.8556
129,0.8496
130,0.8564
131,0.8573
132,0.8538
133,0.8530
134,0.8538
135,0.8496
136,0.8538
137,0.8547
138,0.8547
139,0.8521
140,0.8538
141,0.8547
