epoch,val_acc
0,0.4396
1,0.4769
2,0.4747
3,0.4857
4,0.4879
5,0.4813
6,0.4813
7,0.4923
8,0.5011
9,0.5055
10,0.5077
11,0.5055
12,0.5099
13,0.5121
14,0.5187
15,0.5231
16,0.5297
17,0.5407
18,0.5538
19,0.5495
20,0.5473
21,0.5495
22,0.5451
23,0.5451
24,0.5538
25,0.5560
26,0.5604
27,0.5648
28,0.5648
29,0.5670
30,0.5648
31,0.5648
32,0.5670
33,0.5692
34,0.5714
35,0.5824
36,0.5714
37,0.5670
38,0.5692
39,0.5714
40,0.5736
41,0.5692
42,0.5692
43,0.5670
44,0.5714
45,0.5714
46,0.5714
47,0.5736
48,0.5736
49,0.5692
50,0.5648
51,0.5692
52,0.5692
53,0.5670
54,0.5604
55,0.5582
