epoch,val_acc
0,0.1699
1,0.1895
2,0.2060
3,0.2165
4,0.2256
5,0.2346
6,0.2271
7,0.2241
8,0.2316
9,0.2301
10,0.2241
11,0.2346
12,0.2226
13,0.2195
14,0.2180
15,0.2165
16,0.2150
17,0.2075
18,0.2075
19,0.2135
20,0.2211
21,0.2286
22,0.2301
23,0.2361
24,0.2346
25,0.2346
26,0.2406
27,0.2451
28,0.2481
29,0.2466
30,0.2451
31,0.2511
32,0.2541
33,0.2556
34,0.2556
35,0.2556
36,0.2602
37,0.2632
38,0.2632
39,0.2556
40,0.2511
41,0.2481
42,0.2496
43,0.2466
44,0.2541
45,0.2526
46,0.2541
47,0.2571
48,0.2541
49,0.2526
50,0.2556
51,0.2526
52,0.2556
53,0.2602
54,0.2571
55,0.2617
56,0.2602
57,0.2602
