epoch,val_acc
0,0.5930
1,0.6190
2,0.6295
3,0.6280
4,0.6235
5,0.6245
6,0.6265
7,0.6255
8,0.6220
9,0.6210
10,0.6215
11,0.6200
12,0.6180
13,0.6205
14,0.6245
15,0.6245
16,0.6265
17,0.6310
18,0.6325
19,0.6355
20,0.6380
21,0.6405
22,0.6450
23,0.6450
24,0.6460
25,0.6485
26,0.6490
27,0.6550
28,0.6550
29,0.6580
30,0.6625
31,0.6650
32,0.6680
33,0.6705
34,0.6720
35,0.6725
36,0.6765
37,0.6760
38,0.6750
39,0.6740
40,0.6720
41,0.6725
42,0.6725
43,0.6715
44,0.6705
45,0.6710
46,0.6710
47,0.6720
48,0.6725
49,0.6730
50,0.6740
51,0.6750
52,0.6745
53,0.6735
54,0.6750
55,0.6785
56,0.6770
57,0.6745
58,0.6765
59,0.6780
60,0.6780
61,0.6755
62,0.6740
63,0.6725
64,0.6725
65,0.6735
66,0.6775
67,0.6810
68,0.6820
69,0.6835
70,0.6855
71,0.6845
72,0.6835
73,0.6820
74,0.6810
75,0.6785
76,0.6745
77,0.6715
78,0.6690
79,0.6665
80,0.6660
81,0.6650
82,0.6680
83,0.6680
84,0.6690
85,0.6735
86,0.6735
87,0.6720
88,0.6720
89,0.6700
90,0.6680
