epoch,val_acc
0,0.6750
1,0.6818
2,0.6827
3,0.6806
4,0.6814
5,0.6831
6,0.6878
7,0.6903
8,0.6942
9,0.7001
10,0.7035
11,0.7057
12,0.7112
13,0.7176
14,0.7197
15,0.7256
16,0.7282
17,0.7325
18,0.7325
19,0.7342
20,0.7333
21,0.7354
22,0.7363
23,0.7393
24,0.7384
25,0.7393
26,0.7393
27,0.7388
28,0.7388
29,0.7384
30,0.7380
31,0.7380
32,0.7380
33,0.7371
34,0.7350
35,0.7350
36,0.7346
37,0.7359
38,0.7363
39,0.7371
40,0.7367
41,0.7380
42,0.7397
43,0.7410
44,0.7418
45,0.7427
46,0.7427
47,0.7427
48,0.7414
49,0.7414
50,0.7414
51,0.7410
52,0.7410
53,0.7401
54,0.7397
55,0.7393
56,0.7380
57,0.7388
58,0.7388
59,0.7388
60,0.7384
61,0.7371
62,0.7376
63,0.7376
64,0.7393
65,0.7393
