epoch,val_acc
0,0.1778
1,0.2222
2,0.2954
3,0.3150
4,0.3137
5,0.2980
6,0.3242
7,0.3229
8,0.3268
9,0.3320
10,0.3373
11,0.3412
12,0.3320
13,0.3542
14,0.3542
15,0.3320
16,0.3438
17,0.3386
18,0.3046
19,0.3333
20,0.3412
21,0.3320
22,0.3281
23,0.3412
24,0.3438
25,0.3451
26,0.3477
27,0.3464
28,0.3516
29,0.3503
30,0.3516
31,0.3451
32,0.3556
33,0.3503
34,0.3386
35,0.3529
36,0.3595
37,0.3582
38,0.3595
39,0.3595
40,0.3516
41,0.3621
42,0.3608
43,0.3621
44,0.3542
45,0.3569
46,0.3608
47,0.3569
48,0.3712
49,0.3608
50,0.3595
51,0.3673
52,0.3490
53,0.3569
54,0.3660
55,0.3556
56,0.3516
57,0.3608
58,0.3647
59,0.3373
60,0.3582
61,0.3712
62,0.3464
63,0.3490
64,0.3673
65,0.3647
66,0.3608
67,0.3582
68,0.3647
