epoch,val_acc
0,0.1216
1,0.1396
2,0.1982
3,0.2297
4,0.2432
5,0.2748
6,0.2793
7,0.2973
8,0.3108
9,0.3288
10,0.3288
11,0.3288
12,0.3423
13,0.3559
14,0.3559
15,0.3514
16,0.3514
17,0.3468
18,0.3514
19,0.3514
20,0.3514
21,0.3559
22,0.3559
23,0.3559
24,0.3604
25,0.3649
26,0.3649
27,0.3649
28,0.3649
29,0.3559
30,0.3604
31,0.3604
32,0.3559
33,0.3559
34,0.3559
35,0.3559
36,0.3559
37,0.3559
38,0.3559
39,0.3559
40,0.3559
41,0.3559
42,0.3559
43,0.3559
44,0.3604
45,0.3649
