epoch,val_acc
0,0.4444
1,0.4444
2,0.6111
3,0.6111
4,0.6111
5,0.6667
6,0.7222
7,0.7222
8,0.7222
9,0.7778
10,0.7778
11,0.7778
12,0.7778
13,0.7222
14,0.7222
15,0.7778
16,0.7778
17,0.7778
18,0.7222
19,0.7778
20,0.7778
21,0.7778
22,0.7778
23,0.7222
24,0.7778
25,0.8333
26,0.8333
27,0.8333
28,0.8333
29,0.7778
30,0.7778
31,0.7778
32,0.7778
33,0.7778
34,0.7778
35,0.7778
36,0.7778
37,0.7778
38,0.7778
39,0.7778
40,0.7778
41,0.7778
42,0.6667
43,0.6111
44,0.6111
45,0.6667
