id,dataset,model,depth,hidden,eps,seed,test_acc
Cora_L2_H16_epsna_s0,Cora,hfgcn,2,16,na,0,0.1176
Cora_L2_H16_epsna_s1,Cora,hfgcn,2,16,na,1,0.1360
Cora_L2_H16_epsna_s2,Cora,hfgcn,2,16,na,2,0.1434
Cora_L2_H32_epsna_s0,Cora,hfgcn,2,32,na,0,0.1618
Cora_L2_H32_epsna_s1,Cora,hfgcn,2,32,na,1,0.1581
Cora_L2_H32_epsna_s2,Cora,hfgcn,2,32,na,2,0.1728
Cora_L2_H64_epsna_s0,Cora,hfgcn,2,64,na,0,0.1544
Cora_L2_H64_epsna_s1,Cora,hfgcn,2,64,na,1,0.1397
Cora_L2_H64_epsna_s2,Cora,hfgcn,2,64,na,2,0.1397
Cora_L3_H16_epsna_s0,Cora,hfgcn,3,16,na,0,0.1471
Cora_L3_H16_epsna_s1,Cora,hfgcn,3,16,na,1,0.1103
Cora_L3_H16_epsna_s2,Cora,hfgcn,3,16,na,2,0.1912
Cora_L3_H32_epsna_s0,Cora,hfgcn,3,32,na,0,0.1507
Cora_L3_H32_epsna_s1,Cora,hfgcn,3,32,na,1,0.1581
Cora_L3_H32_epsna_s2,Cora,hfgcn,3,32,na,2,0.1912
Cora_L3_H64_epsna_s0,Cora,hfgcn,3,64,na,0,0.2059
Cora_L3_H64_epsna_s1,Cora,hfgcn,3,64,na,1,0.1838
Cora_L3_H64_epsna_s2,Cora,hfgcn,3,64,na,2,0.1985
Cora_L4_H16_epsna_s0,Cora,hfgcn,4,16,na,0,0.1912
Cora_L4_H16_epsna_s1,Cora,hfgcn,4,16,na,1,0.1949
Cora_L4_H16_epsna_s2,Cora,hfgcn,4,16,na,2,0.1801
Cora_L4_H32_epsna_s0,Cora,hfgcn,4,32,na,0,0.1691
Cora_L4_H32_epsna_s1,Cora,hfgcn,4,32,na,1,0.2022
Cora_L4_H32_epsna_s2,Cora,hfgcn,4,32,na,2,0.1728
Cora_L4_H64_epsna_s0,Cora,hfgcn,4,64,na,0,0.2316
Cora_L4_H64_epsna_s1,Cora,hfgcn,4,64,na,1,0.2463
Cora_L4_H64_epsna_s2,Cora,hfgcn,4,64,na,2,0.2500
Photo_L2_H16_epsna_s0,Photo,hfgcn,2,16,na,0,0.3908
Photo_L2_H16_epsna_s1,Photo,hfgcn,2,16,na,1,0.3608
Photo_L2_H16_epsna_s2,Photo,hfgcn,2,16,na,2,0.4026
Photo_L2_H32_epsna_s0,Photo,hfgcn,2,32,na,0,0.3961
Photo_L2_H32_epsna_s1,Photo,hfgcn,2,32,na,1,0.4013
Photo_L2_H32_epsna_s2,Photo,hfgcn,2,32,na,2,0.3843
Photo_L2_H64_epsna_s0,Photo,hfgcn,2,64,na,0,0.3869
Photo_L2_H64_epsna_s1,Photo,hfgcn,2,64,na,1,0.4039
Photo_L2_H64_epsna_s2,Photo,hfgcn,2,64,na,2,0.3869
Photo_L3_H16_epsna_s0,Photo,hfgcn,3,16,na,0,0.3438
Photo_L3_H16_epsna_s1,Photo,hfgcn,3,16,na,1,0.3464
Photo_L3_H16_epsna_s2,Photo,hfgcn,3,16,na,2,0.3503
Photo_L3_H32_epsna_s0,Photo,hfgcn,3,32,na,0,0.3699
Photo_L3_H32_epsna_s1,Photo,hfgcn,3,32,na,1,0.3739
Photo_L3_H32_epsna_s2,Photo,hfgcn,3,32,na,2,0.3686
Photo_L3_H64_epsna_s0,Photo,hfgcn,3,64,na,0,0.3634
Photo_L3_H64_epsna_s1,Photo,hfgcn,3,64,na,1,0.3961
Photo_L3_H64_epsna_s2,Photo,hfgcn,3,64,na,2,0.4092
Photo_L4_H16_epsna_s0,Photo,hfgcn,4,16,na,0,0.3542
Photo_L4_H16_epsna_s1,Photo,hfgcn,4,16,na,1,0.3595
Photo_L4_H16_epsna_s2,Photo,hfgcn,4,16,na,2,0.3477
Photo_L4_H32_epsna_s0,Photo,hfgcn,4,32,na,0,0.4235
Photo_L4_H32_epsna_s1,Photo,hfgcn,4,32,na,1,0.3673
Photo_L4_H32_epsna_s2,Photo,hfgcn,4,32,na,2,0.3673
Photo_L4_H64_epsna_s0,Photo,hfgcn,4,64,na,0,0.4261
