epoch,val_acc
0,0.2066
1,0.2487
2,0.2513
3,0.2447
4,0.2474
5,0.2526
6,0.2526
7,0.2645
8,0.2763
9,0.2789
10,0.2618
11,0.2658
12,0.2697
13,0.2724
14,0.2750
15,0.2632
16,0.2737
17,0.2816
18,0.2803
19,0.2803
20,0.2895
21,0.2855
22,0.2921
23,0.3000
24,0.2908
25,0.2829
26,0.2737
27,0.2724
28,0.2671
29,0.2737
30,0.2737
31,0.2750
32,0.2763
33,0.2763
34,0.2737
35,0.2816
36,0.2882
37,0.2974
38,0.3026
39,0.3092
40,0.3000
41,0.2947
42,0.2934
43,0.2855
44,0.2882
45,0.2803
46,0.2855
47,0.2921
48,0.2961
49,0.2987
50,0.2987
51,0.3000
52,0.2961
53,0.3118
54,0.3039
55,0.3026
56,0.2987
57,0.2974
58,0.2908
59,0.2895
60,0.2921
61,0.2947
62,0.3013
63,0.3039
64,0.3079
65,0.3026
66,0.3066
67,0.2974
68,0.3000
69,0.3079
70,0.3132
71,0.3118
72,0.3013
73,0.3092
74,0.2921
75,0.2947
76,0.2921
77,0.2961
78,0.3039
79,0.2947
80,0.2934
81,0.2908
82,0.2855
83,0.2974
84,0.2974
85,0.2947
86,0.3039
87,0.2987
88,0.3053
89,0.3039
90,0.3053
