epoch,val_acc
0,0.1026
1,0.1462
2,0.1446
3,0.1337
4,0.1511
5,0.1631
6,0.1729
7,0.1795
8,0.1953
9,0.1953
10,0.1920
11,0.1948
12,0.1931
13,0.1877
14,0.1888
15,0.1888
16,0.1866
17,0.1849
18,0.1833
19,0.1860
20,0.1860
21,0.1953
22,0.2073
23,0.2068
24,0.2122
25,0.2100
26,0.2079
27,0.2029
28,0.2057
29,0.2046
30,0.2122
31,0.2149
32,0.2215
33,0.2259
34,0.2259
35,0.2248
36,0.2275
37,0.2340
38,0.2373
39,0.2340
40,0.2319
41,0.2319
42,0.2390
43,0.2362
44,0.2346
45,0.2390
46,0.2373
47,0.2417
48,0.2395
49,0.2368
50,0.2390
51,0.2400
52,0.2368
53,0.2379
54,0.2384
55,0.2368
56,0.2384
57,0.2368
58,0.2373
59,0.2384
60,0.2362
61,0.2368
62,0.2379
63,0.2390
64,0.2395
65,0.2395
66,0.2433
67,0.2406
68,0.2406
69,0.2400
70,0.2400
71,0.2406
72,0.2428
73,0.2433
74,0.2466
75,0.2466
76,0.2493
77,0.2504
78,0.2526
79,0.2520
80,0.2559
81,0.2548
82,0.2564
83,0.2564
84,0.2559
85,0.2570
86,0.2570
87,0.2537
88,0.2531
89,0.2537
90,0.2548
91,0.2564
92,0.2575
93,0.2570
94,0.2564
95,0.2559
96,0.2553
97,0.2531
98,0.2548
99,0.2564
100,0.2564
101,0.2575
102,0.2580
103,0.2548
104,0.2575
105,0.2575
106,0.2564
107,0.2531
108,0.2531
109,0.2526
110,0.2520
111,0.2520
112,0.2499
113,0.2537
114,0.2570
115,0.2591
116,0.2591
117,0.2564
118,0.2520
119,0.2499
120,0.2531
121,0.2548
122,0.2559
123,0.2548
124,0.2548
125,0.2580
126,0.2559
127,0.2515
128,0.2515
129,0.2537
130,0.2564
131,0.2564
132,0.2548
133,0.2542
134,0.2570
135,0.2559
