epoch,val_acc
0,0.1324
1,0.2247
2,0.2567
3,0.2713
4,0.2960
5,0.3098
6,0.3149
7,0.3200
8,0.3142
9,0.3273
10,0.3353
11,0.3396
12,0.3549
13,0.3498
14,0.3513
15,0.3556
16,0.3585
17,0.3680
18,0.3760
19,0.3862
20,0.3862
21,0.3884
22,0.3942
23,0.4015
24,0.4080
25,0.4095
26,0.4015
27,0.4000
28,0.3971
29,0.3985
30,0.3971
31,0.3971
32,0.3920
33,0.3920
34,0.3898
35,0.3884
36,0.3862
37,0.3898
38,0.3869
39,0.3898
40,0.3876
41,0.3869
42,0.3862
43,0.3833
44,0.3825
45,0.3804
