epoch,val_acc
0,0.2556
1,0.2704
2,0.3037
3,0.2963
4,0.3259
5,0.3370
6,0.3333
7,0.3185
8,0.3333
9,0.3296
10,0.3296
11,0.3185
12,0.3519
13,0.3370
14,0.3593
15,0.3519
16,0.3519
17,0.3481
18,0.3444
19,0.3444
20,0.3370
21,0.3407
22,0.3407
23,0.3593
24,0.3630
25,0.3593
26,0.3593
27,0.3630
28,0.3556
29,0.3593
30,0.3444
31,0.3444
32,0.3519
33,0.3407
34,0.3519
35,0.3519
36,0.3519
37,0.3407
38,0.3370
39,0.3481
40,0.3481
41,0.3444
42,0.3370
43,0.3370
44,0.3407
