epoch,val_acc
0,0.3654
1,0.3998
2,0.4064
3,0.4144
4,0.4197
5,0.4338
6,0.4426
7,0.4537
8,0.4581
9,0.4607
10,0.4643
11,0.4731
12,0.4846
13,0.4929
14,0.5079
15,0.5168
16,0.5318
17,0.5371
18,0.5441
19,0.5530
20,0.5569
21,0.5613
22,0.5649
23,0.5733
24,0.5772
25,0.5838
26,0.5865
27,0.5914
28,0.5949
29,0.5975
30,0.6046
31,0.6077
32,0.6103
33,0.6143
34,0.6152
35,0.6169
36,0.6231
37,0.6284
38,0.6302
39,0.6311
40,0.6342
41,0.6359
42,0.6390
43,0.6421
44,0.6452
45,0.6483
46,0.6523
47,0.6540
48,0.6549
49,0.6593
50,0.6615
51,0.6642
52,0.6673
53,0.6695
54,0.6695
55,0.6726
56,0.6734
57,0.6752
58,0.6770
59,0.6774
60,0.6801
61,0.6823
62,0.6823
63,0.6831
64,0.6858
65,0.6871
66,0.6876
67,0.6889
68,0.6862
69,0.6867
70,0.6880
71,0.6893
72,0.6915
73,0.6920
74,0.6929
75,0.6942
76,0.6933
77,0.6942
78,0.6933
79,0.6937
80,0.6933
81,0.6951
82,0.6951
83,0.6968
84,0.6959
85,0.6964
86,0.6951
87,0.6946
88,0.6959
89,0.6959
90,0.6964
91,0.6977
92,0.6977
93,0.6981
94,0.6990
95,0.6999
96,0.6990
97,0.6999
98,0.7004
99,0.7004
100,0.7008
101,0.7026
102,0.7026
103,0.7048
104,0.7070
105,0.7056
106,0.7061
107,0.7087
108,0.7087
109,0.7083
110,0.7079
111,0.7070
112,0.7079
113,0.7105
114,0.7105
115,0.7123
116,0.7127
117,0.7105
118,0.7105
119,0.7092
120,0.7083
121,0.7079
122,0.7074
123,0.7087
124,0.7105
125,0.7096
126,0.7087
127,0.7092
128,0.7087
129,0.7096
130,0.7096
131,0.7101
132,0.7114
133,0.7114
134,0.7118
135,0.7118
136,0.7105
