epoch,val_acc
0,0.2256
1,0.2496
2,0.2684
3,0.2778
4,0.2932
5,0.3094
6,0.3179
7,0.3256
8,0.3325
9,0.3385
10,0.3410
11,0.3419
12,0.3419
13,0.3453
14,0.3479
15,0.3487
16,0.3504
17,0.3530
18,0.3530
19,0.3538
20,0.3564
21,0.3607
22,0.3641
23,0.3675
24,0.3735
25,0.3803
26,0.3795
27,0.3821
28,0.3863
29,0.3872
30,0.3915
31,0.3940
32,0.3966
33,0.3966
34,0.3991
35,0.4051
36,0.4120
37,0.4214
38,0.4239
39,0.4231
40,0.4248
41,0.4265
42,0.4265
43,0.4248
44,0.4256
45,0.4282
46,0.4282
47,0.4282
48,0.4299
49,0.4291
50,0.4308
51,0.4316
52,0.4333
53,0.4308
54,0.4282
55,0.4291
56,0.4333
57,0.4368
58,0.4342
59,0.4410
60,0.4419
61,0.4410
62,0.4436
63,0.4436
64,0.4470
65,0.4496
66,0.4513
67,0.4504
68,0.4556
69,0.4581
70,0.4607
71,0.4590
72,0.4615
73,0.4598
74,0.4615
75,0.4547
76,0.4521
77,0.4504
78,0.4521
79,0.4504
80,0.4521
81,0.4521
82,0.4504
83,0.4496
84,0.4487
85,0.4538
86,0.4538
87,0.4547
88,0.4487
89,0.4504
90,0.4504
91,0.4530
92,0.4521
