epoch,val_acc
0,0.2311
1,0.2336
2,0.2413
3,0.2466
4,0.2548
5,0.2605
6,0.2638
7,0.2597
8,0.2617
9,0.2577
10,0.2581
11,0.2568
12,0.2601
13,0.2593
14,0.2589
15,0.2601
16,0.2609
17,0.2638
18,0.2634
19,0.2683
20,0.2711
21,0.2675
22,0.2740
23,0.2707
24,0.2760
25,0.2732
26,0.2703
27,0.2699
28,0.2736
29,0.2744
30,0.2764
31,0.2822
32,0.2826
33,0.2858
34,0.2809
35,0.2797
36,0.2813
37,0.2838
38,0.2850
39,0.2850
40,0.2854
41,0.2838
42,0.2842
43,0.2899
44,0.2936
45,0.2928
46,0.2915
47,0.2915
48,0.2928
49,0.2895
50,0.2891
51,0.2862
52,0.2899
53,0.2887
54,0.2924
55,0.2866
56,0.2871
57,0.2846
58,0.2895
59,0.2928
60,0.2879
61,0.2842
62,0.2895
63,0.2883
64,0.2932
