epoch,val_acc
0,0.3673
1,0.3628
2,0.3643
3,0.3623
4,0.3628
5,0.3638
6,0.3633
7,0.3688
8,0.3825
9,0.4130
10,0.4439
11,0.4739
12,0.4876
13,0.4977
14,0.5079
15,0.5226
16,0.5353
17,0.5611
18,0.5789
19,0.5890
20,0.5972
21,0.6002
22,0.6119
23,0.6230
24,0.6352
25,0.6428
26,0.6454
27,0.6469
28,0.6520
29,0.6555
30,0.6540
31,0.6601
32,0.6626
33,0.6616
34,0.6651
35,0.6697
36,0.6717
37,0.6707
38,0.6657
39,0.6707
40,0.6657
41,0.6677
42,0.6657
43,0.6626
44,0.6626
45,0.6657
46,0.6662
47,0.6692
48,0.6697
49,0.6707
50,0.6743
51,0.6743
52,0.6692
53,0.6712
54,0.6707
55,0.6672
56,0.6657
57,0.6697
58,0.6702
59,0.6667
60,0.6662
61,0.6692
62,0.6657
63,0.6651
64,0.6677
65,0.6697
66,0.6702
67,0.6712
68,0.6707
69,0.6702
70,0.6702
