epoch,val_acc
0,0.2033
1,0.2572
2,0.3566
3,0.3039
4,0.2829
5,0.2829
6,0.2914
7,0.3079
8,0.3395
9,0.3572
10,0.3651
11,0.3658
12,0.3684
13,0.3671
14,0.3697
15,0.3651
16,0.3592
17,0.3579
18,0.3553
19,0.3671
20,0.3592
21,0.3572
22,0.3559
23,0.3553
24,0.3579
25,0.3625
26,0.3704
27,0.3783
28,0.3763
29,0.3691
30,0.3789
31,0.3822
32,0.3750
33,0.3684
34,0.3691
35,0.3717
36,0.3711
37,0.3711
38,0.3684
39,0.3717
40,0.3724
41,0.3711
42,0.3632
43,0.3645
44,0.3664
45,0.3638
46,0.3605
47,0.3645
48,0.3671
49,0.3651
50,0.3671
51,0.3684
