epoch,val_acc
0,0.3297
1,0.3429
2,0.3824
3,0.3978
4,0.4022
5,0.4264
6,0.4615
7,0.4747
8,0.4857
9,0.4791
10,0.4879
11,0.4901
12,0.5011
13,0.5143
14,0.4681
15,0.4725
16,0.4703
17,0.4681
18,0.4659
19,0.4725
20,0.4681
21,0.4813
22,0.4857
23,0.5297
24,0.5319
25,0.5341
26,0.5385
27,0.5429
28,0.5407
29,0.5407
30,0.5341
31,0.5385
32,0.5451
33,0.5495
34,0.5560
35,0.5538
36,0.5538
37,0.5538
38,0.5495
39,0.5516
40,0.5473
41,0.5429
42,0.5407
43,0.5429
44,0.5429
45,0.5385
46,0.5319
47,0.5275
48,0.5275
49,0.5275
50,0.5253
51,0.5231
52,0.5209
53,0.5253
54,0.5187
