epoch,val_acc
0,0.2125
1,0.2288
2,0.2413
3,0.2529
4,0.2625
5,0.2750
6,0.2856
7,0.2875
8,0.3010
9,0.3038
10,0.3038
11,0.3115
12,0.3115
13,0.3240
14,0.3279
15,0.3404
16,0.3462
17,0.3404
18,0.3394
19,0.3356
20,0.3404
21,0.3394
22,0.3337
23,0.3327
24,0.3356
25,0.3365
26,0.3337
27,0.3346
28,0.3269
29,0.3260
30,0.3337
31,0.3317
32,0.3471
33,0.3635
34,0.3663
35,0.3577
36,0.3635
37,0.3663
38,0.3683
39,0.3750
40,0.3731
41,0.3702
42,0.3673
43,0.3683
44,0.3663
45,0.3673
46,0.3683
47,0.3654
48,0.3673
49,0.3644
50,0.3644
51,0.3635
52,0.3644
53,0.3635
54,0.3615
55,0.3596
56,0.3558
57,0.3596
58,0.3606
59,0.3577
