epoch,val_acc
0,0.6400
1,0.7200
2,0.7400
3,0.7800
4,0.7800
5,0.8000
6,0.8200
7,0.8200
8,0.8200
9,0.8200
10,0.8200
11,0.8200
12,0.8200
13,0.8400
14,0.8200
15,0.8200
16,0.8200
17,0.8400
18,0.8400
19,0.8400
20,0.8400
21,0.8400
22,0.8400
23,0.8400
24,0.8400
25,0.8400
26,0.8400
27,0.8400
28,0.8400
29,0.8400
30,0.8400
31,0.8400
32,0.8400
33,0.8600
34,0.8600
35,0.8600
36,0.8600
37,0.8600
38,0.8600
39,0.8600
40,0.8600
41,0.8600
42,0.8600
43,0.8600
44,0.8600
45,0.8600
46,0.8600
47,0.8400
48,0.8200
49,0.8200
50,0.8200
51,0.8200
52,0.8200
53,0.8200
