epoch,val_acc
0,0.3942
1,0.3760
2,0.3796
3,0.4342
4,0.4604
5,0.4225
6,0.4247
7,0.4385
8,0.4618
9,0.4655
10,0.4916
11,0.5382
12,0.5891
13,0.6167
14,0.6284
15,0.6560
16,0.6742
17,0.6895
18,0.6880
19,0.6996
20,0.7076
21,0.7062
22,0.7309
23,0.7331
24,0.7302
25,0.7389
26,0.7309
27,0.7353
28,0.7469
29,0.7556
30,0.7498
31,0.7455
32,0.7491
33,0.7549
34,0.7513
35,0.7527
36,0.7578
37,0.7593
38,0.7644
39,0.7629
40,0.7695
41,0.7680
42,0.7629
43,0.7644
44,0.7731
45,0.7651
46,0.7665
47,0.7658
48,0.7738
49,0.7789
50,0.7767
51,0.7833
52,0.7898
53,0.7891
54,0.7935
55,0.7905
56,0.7891
57,0.7796
58,0.7869
59,0.7935
60,0.7855
61,0.7964
62,0.7956
63,0.7956
64,0.8000
65,0.8051
66,0.8015
67,0.7985
68,0.8007
69,0.7971
70,0.8007
71,0.8044
72,0.8065
73,0.8015
74,0.8022
75,0.8015
76,0.8073
77,0.8044
78,0.8022
79,0.8051
80,0.8109
81,0.8029
82,0.8007
83,0.8000
84,0.8080
85,0.7985
86,0.8007
87,0.7993
88,0.7993
89,0.7971
90,0.7971
91,0.8080
92,0.8189
93,0.8124
94,0.8087
95,0.8058
96,0.8029
97,0.7913
98,0.8058
99,0.8109
100,0.8167
101,0.8051
102,0.8109
103,0.8080
104,0.8109
105,0.8095
106,0.8116
107,0.8145
108,0.8124
109,0.8175
110,0.8131
111,0.8204
112,0.8153
113,0.8080
114,0.7985
115,0.8007
116,0.8102
117,0.8109
118,0.8095
119,0.8131
120,0.8124
121,0.8175
122,0.8153
123,0.8196
124,0.8225
125,0.8218
126,0.8247
127,0.8131
128,0.8087
129,0.8116
130,0.8160
131,0.8167
132,0.8182
133,0.8175
134,0.8225
135,0.8233
136,0.8255
137,0.8153
138,0.8145
139,0.8116
140,0.8211
141,0.8196
142,0.8138
143,0.8175
144,0.8138
145,0.8175
146,0.8167
147,0.8131
148,0.8175
149,0.8269
150,0.8255
151,0.8182
152,0.8167
153,0.8131
154,0.8124
155,0.8073
156,0.7898
157,0.8022
158,0.7935
159,0.8095
160,0.8022
161,0.8029
162,0.8109
163,0.8138
164,0.8036
165,0.8029
166,0.8131
167,0.8182
168,0.8153
169,0.8058
