epoch,val_acc
0,0.2852
1,0.2852
2,0.2852
3,0.2852
4,0.2852
5,0.2852
6,0.2852
7,0.2852
8,0.2852
9,0.2852
10,0.3000
11,0.3148
12,0.3889
13,0.4185
14,0.4185
15,0.4370
16,0.4593
17,0.5148
18,0.5630
19,0.5630
20,0.5704
21,0.5778
22,0.5889
23,0.6259
24,0.6333
25,0.6481
26,0.6481
27,0.6407
28,0.6444
29,0.6444
30,0.6333
31,0.6481
32,0.6778
33,0.6926
34,0.7074
35,0.7148
36,0.7111
37,0.7222
38,0.7111
39,0.7037
40,0.7111
41,0.7222
42,0.7148
43,0.7148
44,0.7148
45,0.7148
46,0.7148
47,0.7259
48,0.7259
49,0.7370
50,0.7296
51,0.7296
52,0.7407
53,0.7481
54,0.7370
55,0.7222
56,0.7259
57,0.7185
58,0.7259
59,0.7370
60,0.7370
61,0.7370
62,0.7370
63,0.7407
64,0.7333
65,0.7333
66,0.7333
67,0.7259
68,0.7259
69,0.7148
70,0.7222
71,0.7259
72,0.7296
73,0.7333
