epoch,val_acc
0,0.2118
1,0.2745
2,0.3647
3,0.2745
4,0.2941
5,0.3673
6,0.4261
7,0.4941
8,0.5373
9,0.5608
10,0.5712
11,0.5935
12,0.6484
13,0.6915
14,0.7229
15,0.7516
16,0.7503
17,0.7804
18,0.7948
19,0.7765
20,0.7922
21,0.8013
22,0.8157
23,0.8196
24,0.8314
25,0.8405
26,0.8327
27,0.8405
28,0.8444
29,0.8431
30,0.8510
31,0.8536
32,0.8497
33,0.8562
34,0.8588
35,0.8627
36,0.8667
37,0.8745
38,0.8810
39,0.8667
40,0.8810
41,0.8863
42,0.8928
43,0.8915
44,0.8850
45,0.8902
46,0.8928
47,0.8902
48,0.8837
49,0.8993
50,0.8967
51,0.8967
52,0.8954
53,0.9020
54,0.9085
55,0.9098
56,0.9111
57,0.8902
58,0.9033
59,0.9033
60,0.8928
61,0.9046
62,0.9072
63,0.9059
64,0.9111
65,0.9072
66,0.9111
67,0.9137
68,0.9007
69,0.9137
70,0.9085
71,0.9020
72,0.9098
73,0.9059
74,0.9033
75,0.9046
76,0.9059
77,0.9150
78,0.9072
79,0.9124
80,0.9150
81,0.9046
82,0.9072
83,0.9007
84,0.9098
85,0.9046
86,0.9098
87,0.9111
88,0.9059
89,0.9020
90,0.9072
91,0.9020
92,0.8993
93,0.9033
94,0.9072
95,0.8902
96,0.9020
97,0.9098
