id,dataset,model,depth,hidden,eps,seed,test_acc
Cora_L2_H16_epsna_s0,Cora,mlp,2,16,na,0,0.7390
Cora_L2_H16_epsna_s1,Cora,mlp,2,16,na,1,0.7243
Cora_L2_H16_epsna_s2,Cora,mlp,2,16,na,2,0.7390
Cora_L2_H32_epsna_s0,Cora,mlp,2,32,na,0,0.7316
Cora_L2_H32_epsna_s1,Cora,mlp,2,32,na,1,0.7610
Cora_L2_H32_epsna_s2,Cora,mlp,2,32,na,2,0.7463
Cora_L2_H64_epsna_s0,Cora,mlp,2,64,na,0,0.7426
Cora_L2_H64_epsna_s1,Cora,mlp,2,64,na,1,0.7500
Cora_L2_H64_epsna_s2,Cora,mlp,2,64,na,2,0.7500
Cora_L3_H16_epsna_s0,Cora,mlp,3,16,na,0,0.7206
Cora_L3_H16_epsna_s1,Cora,mlp,3,16,na,1,0.7243
Cora_L3_H16_epsna_s2,Cora,mlp,3,16,na,2,0.7316
Cora_L3_H32_epsna_s0,Cora,mlp,3,32,na,0,0.7206
Cora_L3_H32_epsna_s1,Cora,mlp,3,32,na,1,0.7390
Cora_L3_H32_epsna_s2,Cora,mlp,3,32,na,2,0.7390
Cora_L3_H64_epsna_s0,Cora,mlp,3,64,na,0,0.7316
Cora_L3_H64_epsna_s1,Cora,mlp,3,64,na,1,0.7206
Cora_L3_H64_epsna_s2,Cora,mlp,3,64,na,2,0.7279
Cora_L4_H16_epsna_s0,Cora,mlp,4,16,na,0,0.5515
Cora_L4_H16_epsna_s1,Cora,mlp,4,16,na,1,0.6140
Cora_L4_H16_epsna_s2,Cora,mlp,4,16,na,2,0.5956
Cora_L4_H32_epsna_s0,Cora,mlp,4,32,na,0,0.7243
Cora_L4_H32_epsna_s1,Cora,mlp,4,32,na,1,0.7206
Cora_L4_H32_epsna_s2,Cora,mlp,4,32,na,2,0.7169
Cora_L4_H64_epsna_s0,Cora,mlp,4,64,na,0,0.7316
Cora_L4_H64_epsna_s1,Cora,mlp,4,64,na,1,0.7463
Cora_L4_H64_epsna_s2,Cora,mlp,4,64,na,2,0.7390
Photo_L2_H16_epsna_s0,Photo,mlp,2,16,na,0,0.2915
Photo_L2_H16_epsna_s1,Photo,mlp,2,16,na,1,0.8222
Photo_L2_H16_epsna_s2,Photo,mlp,2,16,na,2,0.7882
Photo_L2_H32_epsna_s0,Photo,mlp,2,32,na,0,0.8876
Photo_L2_H32_epsna_s1,Photo,mlp,2,32,na,1,0.9033
Photo_L2_H32_epsna_s2,Photo,mlp,2,32,na,2,0.9059
Photo_L2_H64_epsna_s0,Photo,mlp,2,64,na,0,0.8993
Photo_L2_H64_epsna_s1,Photo,mlp,2,64,na,1,0.9098
Photo_L2_H64_epsna_s2,Photo,mlp,2,64,na,2,0.9072
Photo_L3_H16_epsna_s0,Photo,mlp,3,16,na,0,0.4641
Photo_L3_H16_epsna_s1,Photo,mlp,3,16,na,1,0.8000
Photo_L3_H16_epsna_s2,Photo,mlp,3,16,na,2,0.8039
Photo_L3_H32_epsna_s0,Photo,mlp,3,32,na,0,0.8863
Photo_L3_H32_epsna_s1,Photo,mlp,3,32,na,1,0.8353
Photo_L3_H32_epsna_s2,Photo,mlp,3,32,na,2,0.8183
Photo_L3_H64_epsna_s0,Photo,mlp,3,64,na,0,0.8928
Photo_L3_H64_epsna_s1,Photo,mlp,3,64,na,1,0.9020
Photo_L3_H64_epsna_s2,Photo,mlp,3,64,na,2,0.8954
Photo_L4_H16_epsna_s0,Photo,mlp,4,16,na,0,0.5516
Photo_L4_H16_epsna_s1,Photo,mlp,4,16,na,1,0.6458
Photo_L4_H16_epsna_s2,Photo,mlp,4,16,na,2,0.6850
Photo_L4_H32_epsna_s0,Photo,mlp,4,32,na,0,0.8275
Photo_L4_H32_epsna_s1,Photo,mlp,4,32,na,1,0.7974
Photo_L4_H32_epsna_s2,Photo,mlp,4,32,na,2,0.8353
Photo_L4_H64_epsna_s0,Photo,mlp,4,64,na,0,0.8719
Photo_L4_H64_epsna_s1,Photo,mlp,4,64,na,1,0.8967
Photo_L4_H64_epsna_s2,Photo,mlp,4,64,na,2,0.8732
Texas_L2_H16_epsna_s0,Texas,mlp,2,16,na,0,0.7895
Texas_L2_H16_epsna_s1,Texas,mlp,2,16,na,1,0.6842
Texas_L2_H16_epsna_s2,Texas,mlp,2,16,na,2,0.7895
Texas_L2_H32_epsna_s0,Texas,mlp,2,32,na,0,0.7368
Texas_L2_H32_epsna_s1,Texas,mlp,2,32,na,1,0.7368
Texas_L2_H32_epsna_s2,Texas,mlp,2,32,na,2,0.6842
Texas_L2_H64_epsna_s0,Texas,mlp,2,64,na,0,0.7368
Texas_L2_H64_epsna_s1,Texas,mlp,2,64,na,1,0.7368
Texas_L2_H64_epsna_s2,Texas,mlp,2,64,na,2,0.7368
Texas_L3_H16_epsna_s0,Texas,mlp,3,16,na,0,0.7895
Texas_L3_H16_epsna_s1,Texas,mlp,3,16,na,1,0.7368
Texas_L3_H16_epsna_s2,Texas,mlp,3,16,na,2,0.7895
Texas_L3_H32_epsna_s0,Texas,mlp,3,32,na,0,0.8421
Texas_L3_H32_epsna_s1,Texas,mlp,3,32,na,1,0.7368
Texas_L3_H32_epsna_s2,Texas,mlp,3,32,na,2,0.7368
Texas_L3_H64_epsna_s0,Texas,mlp,3,64,na,0,0.8421
Texas_L3_H64_epsna_s1,Texas,mlp,3,64,na,1,0.7895
Texas_L3_H64_epsna_s2,Texas,mlp,3,64,na,2,0.8421
Texas_L4_H16_epsna_s0,Texas,mlp,4,16,na,0,0.4737
Texas_L4_H16_epsna_s1,Texas,mlp,4,16,na,1,0.4211
Texas_L4_H16_epsna_s2,Texas,mlp,4,16,na,2,0.7368
Texas_L4_H32_epsna_s0,Texas,mlp,4,32,na,0,0.6842
Texas_L4_H32_epsna_s1,Texas,mlp,4,32,na,1,0.7895
Texas_L4_H32_epsna_s2,Texas,mlp,4,32,na,2,0.6842
Texas_L4_H64_epsna_s0,Texas,mlp,4,64,na,0,0.7895
Texas_L4_H64_epsna_s1,Texas,mlp,4,64,na,1,0.7895
Texas_L4_H64_epsna_s2,Texas,mlp,4,64,na,2,0.7895
Chameleon_L2_H16_epsna_s0,Chameleon,mlp,2,16,na,0,0.3483
Chameleon_L2_H16_epsna_s1,Chameleon,mlp,2,16,na,1,0.3371
Chameleon_L2_H16_epsna_s2,Chameleon,mlp,2,16,na,2,0.3483
Chameleon_L2_H32_epsna_s0,Chameleon,mlp,2,32,na,0,0.2809
Chameleon_L2_H32_epsna_s1,Chameleon,mlp,2,32,na,1,0.3146
Chameleon_L2_H32_epsna_s2,Chameleon,mlp,2,32,na,2,0.3596
Chameleon_L2_H64_epsna_s0,Chameleon,mlp,2,64,na,0,0.3146
Chameleon_L2_H64_epsna_s1,Chameleon,mlp,2,64,na,1,0.3034
Chameleon_L2_H64_epsna_s2,Chameleon,mlp,2,64,na,2,0.3146
Chameleon_L3_H16_epsna_s0,Chameleon,mlp,3,16,na,0,0.3371
Chameleon_L3_H16_epsna_s1,Chameleon,mlp,3,16,na,1,0.3258
Chameleon_L3_H16_epsna_s2,Chameleon,mlp,3,16,na,2,0.2697
Chameleon_L3_H32_epsna_s0,Chameleon,mlp,3,32,na,0,0.3708
Chameleon_L3_H32_epsna_s1,Chameleon,mlp,3,32,na,1,0.3483
Chameleon_L3_H32_epsna_s2,Chameleon,mlp,3,32,na,2,0.3596
Chameleon_L3_H64_epsna_s0,Chameleon,mlp,3,64,na,0,0.3146
Chameleon_L3_H64_epsna_s1,Chameleon,mlp,3,64,na,1,0.4157
Chameleon_L3_H64_epsna_s2,Chameleon,mlp,3,64,na,2,0.3483
Chameleon_L4_H16_epsna_s0,Chameleon,mlp,4,16,na,0,0.3483
Chameleon_L4_H16_epsna_s1,Chameleon,mlp,4,16,na,1,0.3483
Chameleon_L4_H16_epsna_s2,Chameleon,mlp,4,16,na,2,0.2472
Chameleon_L4_H32_epsna_s0,Chameleon,mlp,4,32,na,0,0.3371
Chameleon_L4_H32_epsna_s1,Chameleon,mlp,4,32,na,1,0.3034
Chameleon_L4_H32_epsna_s2,Chameleon,mlp,4,32,na,2,0.3146
Chameleon_L4_H64_epsna_s0,Chameleon,mlp,4,64,na,0,0.3708
Chameleon_L4_H64_epsna_s1,Chameleon,mlp,4,64,na,1,0.2697
Chameleon_L4_H64_epsna_s2,Chameleon,mlp,4,64,na,2,0.3034
CiteSeer_L2_H16_epsna_s0,CiteSeer,mlp,2,16,na,0,0.7096
CiteSeer_L2_H16_epsna_s1,CiteSeer,mlp,2,16,na,1,0.7186
CiteSeer_L2_H16_epsna_s2,CiteSeer,mlp,2,16,na,2,0.7066
CiteSeer_L2_H32_epsna_s0,CiteSeer,mlp,2,32,na,0,0.7036
CiteSeer_L2_H32_epsna_s1,CiteSeer,mlp,2,32,na,1,0.7006
CiteSeer_L2_H32_epsna_s2,CiteSeer,mlp,2,32,na,2,0.7036
CiteSeer_L2_H64_epsna_s0,CiteSeer,mlp,2,64,na,0,0.7096
CiteSeer_L2_H64_epsna_s1,CiteSeer,mlp,2,64,na,1,0.7156
CiteSeer_L2_H64_epsna_s2,CiteSeer,mlp,2,64,na,2,0.7186
CiteSeer_L3_H16_epsna_s0,CiteSeer,mlp,3,16,na,0,0.6557
CiteSeer_L3_H16_epsna_s1,CiteSeer,mlp,3,16,na,1,0.6707
CiteSeer_L3_H16_epsna_s2,CiteSeer,mlp,3,16,na,2,0.6886
CiteSeer_L3_H32_epsna_s0,CiteSeer,mlp,3,32,na,0,0.6976
CiteSeer_L3_H32_epsna_s1,CiteSeer,mlp,3,32,na,1,0.7066
CiteSeer_L3_H32_epsna_s2,CiteSeer,mlp,3,32,na,2,0.6856
CiteSeer_L3_H64_epsna_s0,CiteSeer,mlp,3,64,na,0,0.7036
CiteSeer_L3_H64_epsna_s1,CiteSeer,mlp,3,64,na,1,0.7066
CiteSeer_L3_H64_epsna_s2,CiteSeer,mlp,3,64,na,2,0.7156
CiteSeer_L4_H16_epsna_s0,CiteSeer,mlp,4,16,na,0,0.7006
CiteSeer_L4_H16_epsna_s1,CiteSeer,mlp,4,16,na,1,0.6856
CiteSeer_L4_H16_epsna_s2,CiteSeer,mlp,4,16,na,2,0.6856
CiteSeer_L4_H32_epsna_s0,CiteSeer,mlp,4,32,na,0,0.6617
CiteSeer_L4_H32_epsna_s1,CiteSeer,mlp,4,32,na,1,0.7096
CiteSeer_L4_H32_epsna_s2,CiteSeer,mlp,4,32,na,2,0.6916
CiteSeer_L4_H64_epsna_s0,CiteSeer,mlp,4,64,na,0,0.6916
CiteSeer_L4_H64_epsna_s1,CiteSeer,mlp,4,64,na,1,0.7156
CiteSeer_L4_H64_epsna_s2,CiteSeer,mlp,4,64,na,2,0.6916
Computers_L2_H16_epsna_s0,Computers,mlp,2,16,na,0,0.3663
Computers_L2_H16_epsna_s1,Computers,mlp,2,16,na,1,0.6962
Computers_L2_H16_epsna_s2,Computers,mlp,2,16,na,2,0.5712
Computers_L2_H32_epsna_s0,Computers,mlp,2,32,na,0,0.5850
Computers_L2_H32_epsna_s1,Computers,mlp,2,32,na,1,0.7747
Computers_L2_H32_epsna_s2,Computers,mlp,2,32,na,2,0.7783
Computers_L2_H64_epsna_s0,Computers,mlp,2,64,na,0,0.8278
Computers_L2_H64_epsna_s1,Computers,mlp,2,64,na,1,0.8365
Computers_L2_H64_epsna_s2,Computers,mlp,2,64,na,2,0.8496
Computers_L3_H16_epsna_s0,Computers,mlp,3,16,na,0,0.3735
Computers_L3_H16_epsna_s1,Computers,mlp,3,16,na,1,0.3743
Computers_L3_H16_epsna_s2,Computers,mlp,3,16,na,2,0.4637
Computers_L3_H32_epsna_s0,Computers,mlp,3,32,na,0,0.7900
Computers_L3_H32_epsna_s1,Computers,mlp,3,32,na,1,0.7863
Computers_L3_H32_epsna_s2,Computers,mlp,3,32,na,2,0.7449
Computers_L3_H64_epsna_s0,Computers,mlp,3,64,na,0,0.8234
Computers_L3_H64_epsna_s1,Computers,mlp,3,64,na,1,0.8219
Computers_L3_H64_epsna_s2,Computers,mlp,3,64,na,2,0.8256
Computers_L4_H16_epsna_s0,Computers,mlp,4,16,na,0,0.6126
Computers_L4_H16_epsna_s1,Computers,mlp,4,16,na,1,0.3735
Computers_L4_H16_epsna_s2,Computers,mlp,4,16,na,2,0.3728
Computers_L4_H32_epsna_s0,Computers,mlp,4,32,na,0,0.5676
Computers_L4_H32_epsna_s1,Computers,mlp,4,32,na,1,0.6054
Computers_L4_H32_epsna_s2,Computers,mlp,4,32,na,2,0.3735
Computers_L4_H64_epsna_s0,Computers,mlp,4,64,na,0,0.7783
Computers_L4_H64_epsna_s1,Computers,mlp,4,64,na,1,0.7856
Computers_L4_H64_epsna_s2,Computers,mlp,4,64,na,2,0.3735
CS_L2_H16_epsna_s0,CS,mlp,2,16,na,0,0.9286
CS_L2_H16_epsna_s1,CS,mlp,2,16,na,1,0.9280
CS_L2_H16_epsna_s2,CS,mlp,2,16,na,2,0.9324
CS_L2_H32_epsna_s0,CS,mlp,2,32,na,0,0.9357
CS_L2_H32_epsna_s1,CS,mlp,2,32,na,1,0.9378
CS_L2_H32_epsna_s2,CS,mlp,2,32,na,2,0.9433
CS_L2_H64_epsna_s0,CS,mlp,2,64,na,0,0.9422
CS_L2_H64_epsna_s1,CS,mlp,2,64,na,1,0.9395
CS_L2_H64_epsna_s2,CS,mlp,2,64,na,2,0.9411
CS_L3_H16_epsna_s0,CS,mlp,3,16,na,0,0.8522
CS_L3_H16_epsna_s1,CS,mlp,3,16,na,1,0.8691
CS_L3_H16_epsna_s2,CS,mlp,3,16,na,2,0.8479
CS_L3_H32_epsna_s0,CS,mlp,3,32,na,0,0.9318
CS_L3_H32_epsna_s1,CS,mlp,3,32,na,1,0.9253
CS_L3_H32_epsna_s2,CS,mlp,3,32,na,2,0.9264
CS_L3_H64_epsna_s0,CS,mlp,3,64,na,0,0.9313
CS_L3_H64_epsna_s1,CS,mlp,3,64,na,1,0.9449
CS_L3_H64_epsna_s2,CS,mlp,3,64,na,2,0.9427
CS_L4_H16_epsna_s0,CS,mlp,4,16,na,0,0.5840
CS_L4_H16_epsna_s1,CS,mlp,4,16,na,1,0.7067
CS_L4_H16_epsna_s2,CS,mlp,4,16,na,2,0.6947
CS_L4_H32_epsna_s0,CS,mlp,4,32,na,0,0.7928
CS_L4_H32_epsna_s1,CS,mlp,4,32,na,1,0.8637
CS_L4_H32_epsna_s2,CS,mlp,4,32,na,2,0.8888
CS_L4_H64_epsna_s0,CS,mlp,4,64,na,0,0.9417
CS_L4_H64_epsna_s1,CS,mlp,4,64,na,1,0.9389
CS_L4_H64_epsna_s2,CS,mlp,4,64,na,2,0.9308
Cornell_L2_H16_epsna_s0,Cornell,mlp,2,16,na,0,0.8947
Cornell_L2_H16_epsna_s1,Cornell,mlp,2,16,na,1,0.8947
Cornell_L2_H16_epsna_s2,Cornell,mlp,2,16,na,2,0.8947
Cornell_L2_H32_epsna_s0,Cornell,mlp,2,32,na,0,0.8947
Cornell_L2_H32_epsna_s1,Cornell,mlp,2,32,na,1,0.8947
Cornell_L2_H32_epsna_s2,Cornell,mlp,2,32,na,2,0.8421
Cornell_L2_H64_epsna_s0,Cornell,mlp,2,64,na,0,0.8947
Cornell_L2_H64_epsna_s1,Cornell,mlp,2,64,na,1,0.7895
Cornell_L2_H64_epsna_s2,Cornell,mlp,2,64,na,2,0.8421
Cornell_L3_H16_epsna_s0,Cornell,mlp,3,16,na,0,0.8947
Cornell_L3_H16_epsna_s1,Cornell,mlp,3,16,na,1,0.8421
Cornell_L3_H16_epsna_s2,Cornell,mlp,3,16,na,2,0.8947
Cornell_L3_H32_epsna_s0,Cornell,mlp,3,32,na,0,0.8947
Cornell_L3_H32_epsna_s1,Cornell,mlp,3,32,na,1,0.8421
Cornell_L3_H32_epsna_s2,Cornell,mlp,3,32,na,2,0.7895
Cornell_L3_H64_epsna_s0,Cornell,mlp,3,64,na,0,0.8947
Cornell_L3_H64_epsna_s1,Cornell,mlp,3,64,na,1,0.8947
Cornell_L3_H64_epsna_s2,Cornell,mlp,3,64,na,2,0.8947
Cornell_L4_H16_epsna_s0,Cornell,mlp,4,16,na,0,0.8947
Cornell_L4_H16_epsna_s1,Cornell,mlp,4,16,na,1,0.8421
Cornell_L4_H16_epsna_s2,Cornell,mlp,4,16,na,2,0.8421
Cornell_L4_H32_epsna_s0,Cornell,mlp,4,32,na,0,0.8947
Cornell_L4_H32_epsna_s1,Cornell,mlp,4,32,na,1,0.7895
Cornell_L4_H32_epsna_s2,Cornell,mlp,4,32,na,2,0.8947
Cornell_L4_H64_epsna_s0,Cornell,mlp,4,64,na,0,0.8421
Cornell_L4_H64_epsna_s1,Cornell,mlp,4,64,na,1,0.8421
Cornell_L4_H64_epsna_s2,Cornell,mlp,4,64,na,2,0.7895
Wisconsin_L2_H16_epsna_s0,Wisconsin,mlp,2,16,na,0,0.8077
Wisconsin_L2_H16_epsna_s1,Wisconsin,mlp,2,16,na,1,0.8077
Wisconsin_L2_H16_epsna_s2,Wisconsin,mlp,2,16,na,2,0.8077
Wisconsin_L2_H32_epsna_s0,Wisconsin,mlp,2,32,na,0,0.8077
Wisconsin_L2_H32_epsna_s1,Wisconsin,mlp,2,32,na,1,0.8077
Wisconsin_L2_H32_epsna_s2,Wisconsin,mlp,2,32,na,2,0.8462
Wisconsin_L2_H64_epsna_s0,Wisconsin,mlp,2,64,na,0,0.8077
Wisconsin_L2_H64_epsna_s1,Wisconsin,mlp,2,64,na,1,0.8077
Wisconsin_L2_H64_epsna_s2,Wisconsin,mlp,2,64,na,2,0.8462
Wisconsin_L3_H16_epsna_s0,Wisconsin,mlp,3,16,na,0,0.8077
Wisconsin_L3_H16_epsna_s1,Wisconsin,mlp,3,16,na,1,0.8462
Wisconsin_L3_H16_epsna_s2,Wisconsin,mlp,3,16,na,2,0.8077
Wisconsin_L3_H32_epsna_s0,Wisconsin,mlp,3,32,na,0,0.8077
Wisconsin_L3_H32_epsna_s1,Wisconsin,mlp,3,32,na,1,0.8077
Wisconsin_L3_H32_epsna_s2,Wisconsin,mlp,3,32,na,2,0.8462
Wisconsin_L3_H64_epsna_s0,Wisconsin,mlp,3,64,na,0,0.8077
Wisconsin_L3_H64_epsna_s1,Wisconsin,mlp,3,64,na,1,0.8077
Wisconsin_L3_H64_epsna_s2,Wisconsin,mlp,3,64,na,2,0.8462
Wisconsin_L4_H16_epsna_s0,Wisconsin,mlp,4,16,na,0,0.8077
Wisconsin_L4_H16_epsna_s1,Wisconsin,mlp,4,16,na,1,0.8077
Wisconsin_L4_H16_epsna_s2,Wisconsin,mlp,4,16,na,2,0.6923
Wisconsin_L4_H32_epsna_s0,Wisconsin,mlp,4,32,na,0,0.7692
Wisconsin_L4_H32_epsna_s1,Wisconsin,mlp,4,32,na,1,0.8077
Wisconsin_L4_H32_epsna_s2,Wisconsin,mlp,4,32,na,2,0.7692
Wisconsin_L4_H64_epsna_s0,Wisconsin,mlp,4,64,na,0,0.8077
Wisconsin_L4_H64_epsna_s1,Wisconsin,mlp,4,64,na,1,0.7692
Wisconsin_L4_H64_epsna_s2,Wisconsin,mlp,4,64,na,2,0.8462
Actor_L2_H16_epsna_s0,Actor,mlp,2,16,na,0,0.3500
Actor_L2_H16_epsna_s1,Actor,mlp,2,16,na,1,0.3605
Actor_L2_H16_epsna_s2,Actor,mlp,2,16,na,2,0.3724
Actor_L2_H32_epsna_s0,Actor,mlp,2,32,na,0,0.3671
Actor_L2_H32_epsna_s1,Actor,mlp,2,32,na,1,0.3671
Actor_L2_H32_epsna_s2,Actor,mlp,2,32,na,2,0.3855
Actor_L2_H64_epsna_s0,Actor,mlp,2,64,na,0,0.3776
Actor_L2_H64_epsna_s1,Actor,mlp,2,64,na,1,0.3776
Actor_L2_H64_epsna_s2,Actor,mlp,2,64,na,2,0.3592
Actor_L3_H16_epsna_s0,Actor,mlp,3,16,na,0,0.3737
Actor_L3_H16_epsna_s1,Actor,mlp,3,16,na,1,0.3829
Actor_L3_H16_epsna_s2,Actor,mlp,3,16,na,2,0.4013
Actor_L3_H32_epsna_s0,Actor,mlp,3,32,na,0,0.3645
Actor_L3_H32_epsna_s1,Actor,mlp,3,32,na,1,0.3645
Actor_L3_H32_epsna_s2,Actor,mlp,3,32,na,2,0.3737
Actor_L3_H64_epsna_s0,Actor,mlp,3,64,na,0,0.3697
Actor_L3_H64_epsna_s1,Actor,mlp,3,64,na,1,0.3763
Actor_L3_H64_epsna_s2,Actor,mlp,3,64,na,2,0.3961
Actor_L4_H16_epsna_s0,Actor,mlp,4,16,na,0,0.3816
Actor_L4_H16_epsna_s1,Actor,mlp,4,16,na,1,0.3671
Actor_L4_H16_epsna_s2,Actor,mlp,4,16,na,2,0.3645
Actor_L4_H32_epsna_s0,Actor,mlp,4,32,na,0,0.3895
Actor_L4_H32_epsna_s1,Actor,mlp,4,32,na,1,0.3868
Actor_L4_H32_epsna_s2,Actor,mlp,4,32,na,2,0.4013
Actor_L4_H64_epsna_s0,Actor,mlp,4,64,na,0,0.3789
Actor_L4_H64_epsna_s1,Actor,mlp,4,64,na,1,0.3816
Actor_L4_H64_epsna_s2,Actor,mlp,4,64,na,2,0.3895
Squirrel_L2_H16_epsna_s0,Squirrel,mlp,2,16,na,0,0.3453
Squirrel_L2_H16_epsna_s1,Squirrel,mlp,2,16,na,1,0.3543
Squirrel_L2_H16_epsna_s2,Squirrel,mlp,2,16,na,2,0.3453
Squirrel_L2_H32_epsna_s0,Squirrel,mlp,2,32,na,0,0.3767
Squirrel_L2_H32_epsna_s1,Squirrel,mlp,2,32,na,1,0.3453
Squirrel_L2_H32_epsna_s2,Squirrel,mlp,2,32,na,2,0.3408
Squirrel_L2_H64_epsna_s0,Squirrel,mlp,2,64,na,0,0.3363
Squirrel_L2_H64_epsna_s1,Squirrel,mlp,2,64,na,1,0.3722
Squirrel_L2_H64_epsna_s2,Squirrel,mlp,2,64,na,2,0.3632
Squirrel_L3_H16_epsna_s0,Squirrel,mlp,3,16,na,0,0.3543
Squirrel_L3_H16_epsna_s1,Squirrel,mlp,3,16,na,1,0.3767
Squirrel_L3_H16_epsna_s2,Squirrel,mlp,3,16,na,2,0.3587
Squirrel_L3_H32_epsna_s0,Squirrel,mlp,3,32,na,0,0.3139
Squirrel_L3_H32_epsna_s1,Squirrel,mlp,3,32,na,1,0.3857
Squirrel_L3_H32_epsna_s2,Squirrel,mlp,3,32,na,2,0.3408
Squirrel_L3_H64_epsna_s0,Squirrel,mlp,3,64,na,0,0.3767
Squirrel_L3_H64_epsna_s1,Squirrel,mlp,3,64,na,1,0.3587
Squirrel_L3_H64_epsna_s2,Squirrel,mlp,3,64,na,2,0.3901
Squirrel_L4_H16_epsna_s0,Squirrel,mlp,4,16,na,0,0.3946
Squirrel_L4_H16_epsna_s1,Squirrel,mlp,4,16,na,1,0.3767
Squirrel_L4_H16_epsna_s2,Squirrel,mlp,4,16,na,2,0.3453
