epoch,val_acc
0,0.4354
1,0.4724
2,0.5254
3,0.5859
4,0.6514
5,0.7343
6,0.7785
7,0.7900
8,0.7911
9,0.7981
10,0.8140
11,0.8298
12,0.8472
13,0.8636
14,0.8756
15,0.8865
16,0.8974
17,0.9018
18,0.9127
19,0.9198
20,0.9225
21,0.9236
22,0.9280
23,0.9302
24,0.9329
25,0.9345
26,0.9345
27,0.9329
28,0.9340
29,0.9324
30,0.9307
31,0.9307
32,0.9302
33,0.9307
34,0.9302
35,0.9302
36,0.9285
37,0.9274
38,0.9253
39,0.9280
40,0.9253
41,0.9231
42,0.9247
43,0.9242
44,0.9236
45,0.9253
