epoch,val_acc
0,0.4157
1,0.6205
2,0.6747
3,0.6807
4,0.6898
5,0.7018
6,0.7018
7,0.6928
8,0.7048
9,0.7108
10,0.7078
11,0.7078
12,0.7199
13,0.7319
14,0.7319
15,0.7289
16,0.7289
17,0.7349
18,0.7319
19,0.7319
20,0.7319
21,0.7289
22,0.7259
23,0.7319
24,0.7319
25,0.7349
26,0.7319
27,0.7319
28,0.7229
29,0.7199
30,0.7229
31,0.7229
32,0.7289
33,0.7289
34,0.7319
35,0.7380
36,0.7380
37,0.7440
38,0.7440
39,0.7440
40,0.7440
41,0.7380
42,0.7319
43,0.7319
44,0.7319
45,0.7380
46,0.7380
47,0.7380
48,0.7410
49,0.7380
50,0.7380
51,0.7380
52,0.7349
53,0.7380
54,0.7380
55,0.7380
56,0.7319
57,0.7289
