epoch,val_acc
0,0.3881
1,0.3881
2,0.3881
3,0.3881
4,0.3881
5,0.3952
6,0.5677
7,0.6104
8,0.6154
9,0.6149
10,0.6119
11,0.6124
12,0.6134
13,0.6149
14,0.6220
15,0.6342
16,0.7362
17,0.7712
18,0.7798
19,0.7905
20,0.7955
21,0.8047
22,0.8082
23,0.8153
24,0.8204
25,0.8239
26,0.8255
27,0.8270
28,0.8265
29,0.8234
30,0.8260
31,0.8321
32,0.8366
33,0.8387
34,0.8407
35,0.8427
36,0.8453
37,0.8468
38,0.8493
39,0.8508
40,0.8534
41,0.8559
42,0.8584
43,0.8615
44,0.8635
45,0.8640
46,0.8630
47,0.8625
48,0.8600
49,0.8610
50,0.8630
51,0.8610
52,0.8600
53,0.8584
54,0.8615
55,0.8590
56,0.8584
57,0.8656
58,0.8640
59,0.8640
60,0.8661
61,0.8686
62,0.8691
63,0.8711
64,0.8701
65,0.8711
66,0.8701
67,0.8701
68,0.8701
69,0.8711
70,0.8742
71,0.8727
72,0.8727
73,0.8757
74,0.8772
75,0.8742
76,0.8767
77,0.8757
78,0.8782
79,0.8777
80,0.8767
81,0.8803
82,0.8737
83,0.8828
84,0.8777
85,0.8798
86,0.8808
87,0.8782
88,0.8813
89,0.8803
90,0.8803
91,0.8823
92,0.8818
93,0.8823
94,0.8823
95,0.8808
96,0.8792
97,0.8803
98,0.8798
99,0.8762
100,0.8792
101,0.8787
102,0.8823
103,0.8864
104,0.8798
105,0.8848
106,0.8858
107,0.8848
108,0.8838
109,0.8823
110,0.8853
111,0.8843
112,0.8843
113,0.8828
114,0.8823
115,0.8848
116,0.8818
117,0.8818
118,0.8838
119,0.8853
120,0.8848
121,0.8838
122,0.8792
123,0.8792
