epoch,val_acc
0,0.2374
1,0.3164
2,0.2798
3,0.2348
4,0.2229
5,0.2652
6,0.3522
7,0.3522
8,0.3570
9,0.3619
10,0.3773
11,0.4166
12,0.4184
13,0.4237
14,0.4285
15,0.4342
16,0.4532
17,0.4532
18,0.4643
19,0.4687
20,0.4748
21,0.4832
22,0.4951
23,0.5110
24,0.5181
25,0.5309
26,0.5384
27,0.5446
28,0.5494
29,0.5583
30,0.5530
31,0.5547
32,0.5569
33,0.5578
34,0.5591
35,0.5644
36,0.5680
37,0.5724
38,0.5803
39,0.5834
40,0.5843
41,0.5843
42,0.5896
43,0.5936
44,0.5914
45,0.5993
46,0.6011
47,0.6024
48,0.6081
49,0.6077
50,0.6143
51,0.6183
52,0.6183
53,0.6178
54,0.6214
55,0.6214
56,0.6258
57,0.6240
58,0.6258
59,0.6293
60,0.6350
61,0.6346
62,0.6350
63,0.6359
64,0.6408
65,0.6417
66,0.6412
67,0.6430
68,0.6421
69,0.6408
70,0.6408
71,0.6439
72,0.6461
73,0.6465
74,0.6474
75,0.6470
76,0.6465
77,0.6465
78,0.6487
79,0.6496
80,0.6474
81,0.6452
82,0.6505
83,0.6492
84,0.6527
85,0.6545
86,0.6500
87,0.6558
88,0.6549
89,0.6549
90,0.6553
91,0.6567
92,0.6558
93,0.6575
94,0.6575
95,0.6558
96,0.6553
97,0.6553
98,0.6531
99,0.6575
100,0.6567
101,0.6531
102,0.6567
103,0.6531
104,0.6580
105,0.6571
106,0.6558
107,0.6562
108,0.6575
109,0.6580
110,0.6567
111,0.6571
112,0.6584
113,0.6571
114,0.6589
115,0.6589
116,0.6593
117,0.6584
118,0.6593
119,0.6589
120,0.6593
121,0.6606
122,0.6602
123,0.6598
124,0.6606
125,0.6624
126,0.6593
127,0.6602
128,0.6567
129,0.6558
130,0.6553
131,0.6549
132,0.6598
133,0.6589
134,0.6589
135,0.6602
136,0.6593
137,0.6553
138,0.6589
139,0.6571
140,0.6575
141,0.6593
142,0.6611
143,0.6593
144,0.6580
145,0.6602
