epoch,val_acc
0,0.3889
1,0.3889
2,0.3889
3,0.3889
4,0.3889
5,0.3889
6,0.3889
7,0.5000
8,0.5000
9,0.6667
10,0.7222
11,0.7222
12,0.6111
13,0.6667
14,0.6667
15,0.7222
16,0.7222
17,0.7222
18,0.7222
19,0.7222
20,0.7778
21,0.7778
22,0.8333
23,0.8333
24,0.8889
25,0.8889
26,0.8889
27,0.8889
28,0.8889
29,0.8889
30,0.8889
31,0.8889
32,0.8889
33,0.8889
34,0.8889
35,0.8889
36,0.8889
37,0.8889
38,0.8889
39,0.8889
40,0.8889
41,0.8889
42,0.8889
43,0.8889
44,0.8889
