epoch,val_acc
0,0.2598
1,0.2470
2,0.2470
3,0.2470
4,0.2470
5,0.3701
6,0.3684
7,0.3701
8,0.4120
9,0.4291
10,0.4034
11,0.4547
12,0.4761
13,0.4803
14,0.4812
15,0.4932
16,0.5085
17,0.5205
18,0.5256
19,0.5299
20,0.5496
21,0.5607
22,0.5658
23,0.5641
24,0.5718
25,0.5726
26,0.5795
27,0.5863
28,0.5991
29,0.6111
30,0.6171
31,0.6248
32,0.6248
33,0.6282
34,0.6316
35,0.6385
36,0.6342
37,0.6359
38,0.6359
39,0.6427
40,0.6453
41,0.6538
42,0.6538
43,0.6590
44,0.6641
45,0.6667
46,0.6701
47,0.6803
48,0.6897
49,0.6957
50,0.7034
51,0.7154
52,0.7231
53,0.7333
54,0.7376
55,0.7453
56,0.7436
57,0.7470
58,0.7504
59,0.7556
60,0.7556
61,0.7581
62,0.7547
63,0.7650
64,0.7667
65,0.7701
66,0.7632
67,0.7735
68,0.7632
69,0.7667
70,0.7735
71,0.7752
72,0.7735
73,0.7795
74,0.7829
75,0.7769
76,0.7761
77,0.7829
78,0.7795
79,0.7803
80,0.7889
81,0.7872
82,0.7803
83,0.7744
84,0.7821
85,0.7786
86,0.7761
87,0.7829
88,0.7897
89,0.7863
90,0.7838
91,0.7795
92,0.7889
93,0.7838
94,0.7906
95,0.7923
96,0.7940
97,0.7940
98,0.7821
99,0.7838
100,0.7872
101,0.7863
102,0.7932
103,0.7932
104,0.7991
105,0.7957
106,0.7966
107,0.7932
108,0.7949
109,0.7897
110,0.7889
111,0.7872
112,0.7889
113,0.7880
114,0.7838
115,0.7923
116,0.7872
117,0.7915
118,0.7846
119,0.7983
120,0.7957
121,0.7880
122,0.7906
123,0.7915
124,0.7957
