epoch,val_acc
0,0.2151
1,0.2355
2,0.2487
3,0.2559
4,0.2586
5,0.2743
6,0.2816
7,0.2789
8,0.2842
9,0.2855
10,0.2842
11,0.2803
12,0.2822
13,0.2829
14,0.2809
15,0.2783
16,0.2842
17,0.2862
18,0.2908
19,0.2921
20,0.2928
21,0.2961
22,0.2974
23,0.3013
24,0.3079
25,0.3118
26,0.3099
27,0.3171
28,0.3204
29,0.3237
30,0.3263
31,0.3303
32,0.3303
33,0.3336
34,0.3276
35,0.3303
36,0.3316
37,0.3342
38,0.3336
39,0.3329
40,0.3349
41,0.3388
42,0.3401
43,0.3421
44,0.3408
45,0.3421
46,0.3441
47,0.3467
48,0.3500
49,0.3526
50,0.3539
51,0.3546
52,0.3559
53,0.3599
54,0.3632
55,0.3618
56,0.3612
57,0.3592
58,0.3566
59,0.3566
60,0.3572
61,0.3586
62,0.3559
63,0.3559
64,0.3553
65,0.3566
66,0.3566
67,0.3559
68,0.3539
69,0.3526
70,0.3500
71,0.3493
72,0.3480
73,0.3493
74,0.3507
75,0.3553
76,0.3526
77,0.3500
78,0.3533
79,0.3520
80,0.3493
81,0.3513
82,0.3520
83,0.3513
84,0.3507
85,0.3520
86,0.3526
87,0.3507
88,0.3507
89,0.3487
90,0.3500
91,0.3500
92,0.3526
93,0.3566
94,0.3553
95,0.3566
96,0.3559
97,0.3566
98,0.3572
99,0.3546
100,0.3579
101,0.3572
102,0.3572
103,0.3579
104,0.3566
