epoch,val_acc
0,0.2342
1,0.2421
2,0.2467
3,0.2559
4,0.2691
5,0.2684
6,0.2632
7,0.2750
8,0.2789
9,0.2822
10,0.2809
11,0.2789
12,0.2783
13,0.2816
14,0.2796
15,0.2809
16,0.2803
17,0.2809
18,0.2829
19,0.2862
20,0.2882
21,0.2928
22,0.2974
23,0.2974
24,0.3007
25,0.3033
26,0.3059
27,0.2987
28,0.3013
29,0.3026
30,0.3039
31,0.3086
32,0.3125
33,0.3138
34,0.3171
35,0.3224
36,0.3263
37,0.3263
38,0.3250
39,0.3250
40,0.3257
41,0.3296
42,0.3303
43,0.3316
44,0.3322
45,0.3336
46,0.3309
47,0.3309
48,0.3349
49,0.3355
50,0.3368
51,0.3408
52,0.3408
53,0.3434
54,0.3467
55,0.3454
56,0.3461
57,0.3467
58,0.3493
59,0.3487
60,0.3480
61,0.3493
62,0.3493
63,0.3474
64,0.3507
65,0.3526
66,0.3553
67,0.3526
68,0.3526
69,0.3520
70,0.3539
71,0.3539
72,0.3526
73,0.3526
74,0.3507
75,0.3507
76,0.3520
77,0.3539
78,0.3520
79,0.3493
80,0.3493
81,0.3500
82,0.3507
83,0.3487
84,0.3493
85,0.3520
86,0.3513
87,0.3520
88,0.3533
89,0.3533
90,0.3533
91,0.3539
92,0.3546
93,0.3539
94,0.3533
95,0.3579
96,0.3572
97,0.3572
98,0.3572
99,0.3586
100,0.3605
101,0.3612
102,0.3605
103,0.3572
104,0.3566
105,0.3559
106,0.3559
107,0.3539
108,0.3539
109,0.3546
110,0.3546
111,0.3546
112,0.3572
113,0.3559
114,0.3553
115,0.3559
116,0.3546
117,0.3546
118,0.3553
119,0.3566
120,0.3559
121,0.3566
122,0.3546
123,0.3572
124,0.3572
125,0.3592
126,0.3599
127,0.3592
128,0.3599
129,0.3605
130,0.3592
131,0.3592
132,0.3605
133,0.3612
134,0.3599
135,0.3592
136,0.3579
137,0.3579
138,0.3572
139,0.3572
140,0.3592
141,0.3592
142,0.3586
143,0.3592
144,0.3592
145,0.3586
146,0.3586
147,0.3579
148,0.3592
149,0.3559
150,0.3539
151,0.3553
